Disease,Remedy
"Nasal Congestion","Inhale eucalyptus oil or peppermint oil steam."
"Nausea","Suck on lemon wedge or chew ginger."
"Neck Pain","Apply warm mustard oil or camphor."
"Night Blindness","Consume carrot juice + ghee (clarified butter) daily."
"Night Sweats","Drink sage tea or eat yogurt."
"Nosebleeds","Apply ice pack or cotton soaked in vinegar."
"Obesity","Drink warm water with lemon and honey."
"Oily Skin","Apply multani mitti (fuller's earth) + rosewater pack."
"Osteoporosis","Drink sesame (Til) seed milk or almond milk daily."
"Overeating","Sip peppermint tea or chew fennel (Saunf) seeds."
"Painful Urination","Drink barley water or coconut water."
"Pancreatitis","Drink aloe vera juice or coconut water frequently."
"Parasites","Eat pumpkin seeds or drink neem (Azadirachta indica) tea."
"Peptic Ulcer","Drink cabbage juice or aloe vera juice."
"Piles","Apply aloe vera gel or coconut oil."
"Pimples","Apply toothpaste or neem paste overnight."
"Pink Eye","Apply cooled chamomile tea bags."
"Pleurisy","Apply warm mustard oil + camphor on the chest."
"Pneumonia","Inhale eucalyptus oil steam daily."
"Poison Ivy","Apply aloe vera gel or baking soda paste."
"Polycystic Ovaries","Drink spearmint tea or cinnamon (Dalchini) water."
"Postnasal Drip","Gargle with salt water or drink ginger tea."
"Postpartum Care","Consume dates (Khajur) + ghee (clarified butter) daily."
"Premature Ejaculation","Drink ashwagandha milk daily."
"Prickly Heat","Apply sandalwood powder + rosewater paste on skin."
"Prostate Enlargement","Drink pumpkin seed tea daily."
"Prostate Health","Drink pumpkin seed tea or green tea daily."
"Psoriasis","Apply aloe vera gel or coconut oil."
"Pyorrhea","Gargle with salt water or neem water."
"Rashes","Apply oatmeal paste or coconut oil."
"Restless Legs","Massage legs with warm sesame oil before bed."
"Rheumatism","Massage with warm sesame oil."
"Ringworm","Apply garlic paste or coconut oil."
"Rosacea","Apply green tea bags or oatmeal paste on affected areas."
"Scabies","Apply neem (Azadirachta indica) oil + turmeric (Haldi) paste."
"Sciatica","Massage with warm garlic (Lahsun) oil or ashwagandha oil."
"Seasonal Allergies","Consume local honey (Madhu) daily for immunity."
"Shingles","Apply cool oatmeal baths or coconut oil (Nariyal) topically."
"Shivering","Drink ginger tea or warm milk."
"Sinusitis","Use neti pot with saline water."
"Sinuses","Use neti pot with saline water or inhale tulsi (holy basil) steam."
"Skin Tags","Apply apple cider vinegar daily."
"Sleep Apnea","Drink chamomile tea before bed."
"Smoking Cessation","Chew licorice sticks or sunflower seeds to curb cravings."
"Snoring","Drink peppermint tea or sleep on side."
"Sore Muscles","Apply arnica gel or Epsom salt bath for relaxation."
"Sore Throat","Gargle with salt water or turmeric milk."
"Spleen Enlargement","Drink ginger tea or pomegranate juice."
"Spleen Health","Drink ginger (Adrak) tea or pomegranate (Anar) juice."
"Sprains","Apply ice pack or turmeric paste."
"Stomach Ache","Drink chamomile tea or ajwain water."
"Stretch Marks","Apply cocoa butter or almond oil daily."
"Stuttering","Chew almonds or practice deep breathing."
"Sunburn","Apply yogurt or aloe vera gel."
"Sunspots","Rub lemon (Nimbu) juice or onion (Pyaj) juice on spots."
"Swelling","Apply ice pack or turmeric paste."
"Swimmer's Ear","Put 2 drops of white vinegar + rubbing alcohol in ear."
"Teething Pain","Rub clove oil on gums."
"Tennis Elbow","Apply ice packs or ginger (Adrak) paste on the joint."
"Thinning Eyebrows","Apply castor oil or coconut oil (Nariyal) nightly."
"Throat Infection","Gargle with salt water or turmeric milk."
"Thyroid Issues","Drink ginger tea or coconut water."
"Tinnitus","Drink ginger (Adrak) tea or avoid caffeine/salt."
"Toothache","Apply clove oil or garlic paste."
"Tooth Decay","Chew neem sticks or gargle with salt water."
"Tooth Sensitivity","Apply clove (Laung) oil or chew guava leaves."
"Tuberculosis","Drink garlic milk or eat bananas."
"Tumors","Apply castor oil packs or drink green tea."
"Ulcers","Drink aloe vera juice or cabbage juice."
"Under Eye Bags","Place chilled cucumber slices."
"Urethritis","Drink barley water or coconut water."
"Urinary Infection","Drink cranberry juice or coriander water."
"UTI Prevention","Drink barley water or cranberry juice daily."
"Urticaria","Apply aloe vera gel or coconut oil."
"Vaginal Dryness","Apply coconut oil (Nariyal) or aloe vera gel topically."
"Varicose Veins","Massage with apple cider vinegar or witch hazel."
"Vertigo","Chew ginger (Adrak) or sip coriander (Dhania) seed water."
"Vomiting","Drink ginger juice or lemon water."
"Warts","Apply duct tape or apple cider vinegar daily."
"Water Retention","Drink dandelion tea or cucumber juice daily."
"Weight Gain","Drink banana shake with nuts daily."
"Weight Loss","Drink green tea or lemon water daily."
"Wheezing","Inhale eucalyptus oil steam."
"Whitlow","Apply turmeric paste or neem oil."
"Whiplash","Apply warm castor oil packs or arnica gel."
"Worms","Eat pumpkin seeds or drink neem tea."
"Wounds","Apply turmeric paste or honey."
"Wrinkles","Apply egg white or almond oil mask."
"Xerostomia (Dry Mouth)","Chew sugar-free gum or sip aloe vera juice."
"Yeast Infection","Apply yogurt (Dahi) or coconut oil (Nariyal) topically."
"Yellow Teeth","Rub orange peel or activated charcoal on teeth."
"Zinc Deficiency","Eat pumpkin seeds or drink amla (Indian gooseberry) juice."
"Indigestion","5 gm. crushed Adrak (ginger) with salt or jaggery twice daily before meal."
"Ear Pain","2-4 drops of fresh warm Adrak (ginger) juice to be instilled in the ear (don’t use when there is discharge)."
"Hoarseness of voice","1-3 gm. powder of dry Adrak (ginger) with honey in three divided doses."
"Aches & pains","10-20 ml. decoction prepared from 2 gm. of dry Adrak (ginger) twice a day."
"Cold/Cough","2-5 gm. powder of dry Adrak (ginger) with jaggery thrice a day in divided doses."
"Headache","10ml. decoction prepared from a piece of Adrak (ginger) every morning prevents recurrent attack of cold. Warm paste should be applied over forehead up to 3-4 times a day."
"Abdominal pain","5 ml. Adrak (ginger) juice in a glass of buttermilk with lemon & salt."
"Piles","1 gm. Ajvain powder and 1 gm. black-salt with buttermilk twice daily."
"Painful Menses","1-2 gm. powder of Ajvain seeds with warm milk thrice a day for 2-3 days."
"Urticaria (Skin allergy)","1-2 gm. powder of Ajvain seeds with water twice daily."
"Flatulence (gas)","2 gm. Ajvain powder with equal quantity of Saunf powder with warm water."
"Sinusitis","Warm Ajvain paste should be applied over forehead & little below the eyes in the morning."
"Nasal block","1-2 gm Ajvain powder should be put in steaming water & vapour should be inhaled; 2-3 times a day."
"Loss of appetite","1 gm. Ajvain powder with warm water 1/2 hour before meals."
"Indigestion","10 ml. Anar (pomegranate) juice, 1 gm. black-salt or fried Jeera powder with honey or sugar to hold inside mouth for sometime before food."
"Bleeding piles","10 ml. Anar (pomegranate) juice with sugar twice a day or 10 gm. powder of dry Anar fruit rind with equal quantity of sugar twice a day."
"Diarrhea/ Dysentery","10 ml. decoction of Anar (pomegranate) fruit skin thrice a day. Fruit may be eaten in plenty."
"Hyper-acidity","10 ml. Anar (pomegranate) juice twice a day. Even the fruit may be eaten."
"Bad breath","Gargling with the warm decoction prepared from Anar (pomegranate) fruit skin 3-4 times a day."
"Acne","Paste of Anar (pomegranate) seeds should be applied to affected part twice daily."
"For general health","Regular use of Amla provides nutrition and boosts good health."
"Hyper Acidity/ Peptic Ulcer/ Constipation","3-5 gm. powered Amla fruit rind twice a day with milk or 10-20 ml. Amla fruit juice twice a day or 3-5 gm. powered fruit rind twice a day with milk (Even raw Amla can be eaten)."
"Stress","External application of 25-50 gm. of Amla fruit rind ground in buttermilk on the forehead."
"Diabetes","10-20 ml. Amla fruit juice with 10-20 ml. juice of fresh rhizome of Haldi (turmeric) twice a day."
"Greying of Hair / Hair fall/Dandruff","Amla fruit rind soaked overnight in water for application on scalp two hours before bath or paste prepared from fruit rind should be applied two hours before bath. 1-2 fresh Amla fruits eaten every morning prevents hair fall & early greying."
"Bleeding gums","Fine Amla powder should be gently massaged to gums after brushing at least twice a day regularly."
"Indigestion","2 gm. Dalchini (cinnamon) powder with water twice a day."
"Loss of Appetite","2 gm. powder of equal parts of Dalchini (cinnamon) and Ajvain for chewing in three divided doses before food."
"Vomiting","1-2 gm. Dalchini (cinnamon) powder with honey thrice a day in divided doses."
"Tension headache","Dalchini (cinnamon) to be rubbed with water on a rough surface & applied to forehead."
"Mental tension","Crushed Dalchini (cinnamon) pieces may be kept in hanky or near the pillow."
"Dry cough","Chewing Dalchini (cinnamon) controls the throat irritation and helps in dry cough."
"Cold/ Cough","20 ml. decoction prepared from 5 gm. coarse Dhania (coriander) powder with sugar and turmeric powder thrice a day or use of Dhania powder as herbal tea every morning prevents cold, cough & problems related to digestion."
"Intestinal worms","3-5 gm. Dhania (coriander) powder with jaggery twice a day for 5 days."
"Sun stroke/ Dehydration","20 ml. decoction prepared from coarse Dhania (coriander) powder with sugar and a pinch of salt frequently."
"Fever","20 ml. decoction from 5 gm. Dhania (coriander) powder with sugar 3-4 times a day."
"Hiccough","1-2 Elaichi (cardamom) fruits to be chewed frequently (not more than 4/day)."
"Vomiting","250-500 gm. powder of Elaichi (cardamom) seeds fried in ghee thrice daily with honey."
"Bad breath","1-2 Elaichi (cardamom) seeds to be chewed frequently (not more than 4/day)."
"Diarrhea/Vomiting","Ash of the Elaichi (cardamom) skin 2 gm. with a little honey 4-5 times a day."
"Cold","20 ml. decoction prepared from 5 gm. Dhania, 1 gm Methi seeds, little turmeric powder should be taken 2-3 times/day."
"Cough","Little Elaichi (cardamom) powder with a teaspoon full of honey 3-4 times day. Even chewing Elaichi (not more than 3 per day) frequently is helpful in dry as well as productive cough."
"Ulcer/Wounds/ Burns","Application of Ghee over affected part frequently."
"Loss of Appetite","Ghee with Hing and Jeera powder with food."
"Memory","Use of Ghee everyday in children improves memory."
"Constipation","5 ml. Ghee put in a cup of warm milk should be taken with sugar at bed time."
"Acne","Application of Haldi (turmeric) paste to the affected part twice a day."
"Cold","2 gm. Haldi (turmeric) powder with warm milk and sugar twice a day."
"Wound/ulcer/skin disease","To be washed with decoction of Haldi (turmeric) & paste of Haldi should be applied. Paste made by mixing with Ghee/coconut oil should be applied over affected part."
"Skin allergy","1-3 gm. Haldi (turmeric) powder should be taken with jaggery twice a day."
"Abdominal Pain","Hing (asafoetida) stirred and dissolved in water and applied on & around umbilicus."
"Toothache","Keep fried Hing (asafoetida) in carious tooth."
"Loss of appetite","A pinch of Hing (asafoetida) fried in ghee & a piece of Adrak crushed should be taken with buttermilk before food."
"Diarrhea in children","A pinch of Jayphal (nutmeg) powder or fruit rubbed on a clean surface with milk or water should be given 3-4 times a day."
"Irritability","If child is restless & irritable 1-2 pinch of Jayphal (nutmeg) powder given with milk acts as mild sedative. This may be used 3-4 times a day."
"Black pigmentation","Jayphal (nutmeg) rubbed in milk and applied on such areas is helpful."
"Abdominal pain","If pain is due to diarrhea 2 gm. Jayphal (nutmeg) powder with warm water should be taken 4-5 times a day."
"Indigestion","3-6 gm. powder of fried Jeera (cumin) and rock-salt with warm water thrice daily."
"Diarrhea/Dysentery","1-2 gm. powder of fried Jeera (cumin) with 250 ml. buttermilk four times daily."
"Hyper-acidity","5-10 gm. ghee boiled with Jeera (cumin) should be taken with rice during meals."
"Skin disease","1-2 gm. powder of fried Jeera (cumin) with milk twice daily."
"Cold","Warm decoction of 2 gm. Jeera, 5 gm. Dhania, 1 gm. Haldi, 1 gm. Methi powder and little pepper should be taken with honey/sugar with lemon two to three times."
"Cough","Either decoction as mentioned above or chewing few Jeera (cumin) grains frequently helps in dry as well as productive cough."
"Skin diseases","1 gm. powder of Kalimirach (black pepper) seeds with ghee and honey twice daily."
"Hoarseness of voice","Little Kalimirach (black pepper) powder with coconut oil for local application."
"Hiccough","1-2 gm. powder of Kalimirach (black pepper) seed fried with ghee twice daily, to keep in mouth."
"Loss of appetite","A pinch of Kalimirach (black pepper) powder with a piece of crushed ginger & rock salt should be taken before meal."
"Bleeding gums/ tartar/ bad breath","A pinch of Kalimirach (black pepper) powder mixed with honey should be applied to gums after gargling with warm salt water twice a day."
"Indigestion","5-10 ml. Karela (bitter gourd) juice twice daily."
"Diabetes","1-3 gm. powder of Karela (bitter gourd) seeds with water twice a day."
"Loss of appetite","5-10 ml. Karela (bitter gourd) juice with buttermilk 1-2 times."
"Skin diseases","5-10 ml. Karela (bitter gourd) juice every morning in empty stomach."
"Intestinal worms","10 ml Karela (bitter gourd) juice with jaggery in the morning for 3 days."
"Acne","5-10 ml. Karela (bitter gourd) juice in empty stomach once a day."
"Ear pain","2-4 drops of warm fresh Lahsun (garlic) juice for instillation in ear twice a day (Don’t use when there is discharge)."
"Flatulence","6 ml. Lahsun (garlic) juice with honey twice a day."
"Cough/Cold","Crushed Lahsun (garlic) bulb boiled in water is to be taken with sugar."
"Joint pain","5 gm. paste of Lahsun (garlic) bulb with honey or with food twice a day. Warm paste mixed in any oil should be applied over the joint."
"Cough","Laung (clove) to be chewed frequently or 1 gm. powder with honey 2-3 times in divided doses."
"Cold / Hiccough","20 ml warm decoction prepared by putting 1 gm. Laung (clove) 3-4 times daily."
"Indigestion","1-2 gm. of Laung (clove) powder with honey in three divided doses."
"Tooth ache","Crushed Laung (clove) should be kept in carious tooth."
"Bad breath","Small piece of Laung (clove) should be chewed frequently."
"Ear pain","Warm coconut oil prepared by boiling the powder of Laung (clove) should be filled in ear twice daily (Do not use when there is discharge)."
"Obesity","One teaspoon Madhu (honey) with glass of water in the morning."
"Loss Appetite","Madhu (honey) with a pinch of pepper powder three to four times a day."
"Cough","Madhu (honey) with a pinch of powder of Laung three to four times."
"Wounds/Ulcer/Burn","Madhu (honey) and ghee should be mixed and applied."
"Pyorrhoea (Bleeding gums)","Apply mixture of ginger, pepper, rock salt, Madhu (honey) & Ghee to the gums twice a day."
"Face pack","Application of Madhu (honey) gives glow to the skin."
"Diabetes","2 gm. Methi (fenugreek) powder with milk twice daily."
"Body ache","2 gm. Methi (fenugreek) powder mixed with 2 gm. Jeera powder with warm milk and sugar twice daily."
"Lactation (To increase mother's milk)","5 gm. Methi (fenugreek) powder with milk and sugar in the morning."
"Dandruff","Scalp should be massaged with Methi (fenugreek) paste mixed in the water 1/2 hour before bath. Coconut oil boiled with Methi powder should be used regularly."
"Hyper-acidity","Tender Nariyal (coconut) water twice daily."
"Kidney stone","Tender Nariyal (coconut) water twice daily."
"Wounds/Ulcer /Burn","Nariyal (coconut) oil should be applied frequently."
"Dehydration","Tender Nariyal (coconut) water should be taken frequently."
"Hair fall","Nariyal (coconut) oil processed with Methi powder and Amla powder should be used regularly."
"Sun stroke","Tender Nariyal (coconut) water should be taken frequently."
"Skin disease","10 ml. Neem juice of leaves with honey twice a day."
"Wounds/Ulcer","Warm application of Neem paste prepared from leaves over affected part."
"Intestinal worms","20 ml decoction made from hand full of Neem leaves should be given in empty stomach for three days."
"Loss of appetite","20 ml. decoction made from hand full of Neem leaves should be given in empty stomach for three days."
"Dandruff/ Ring worm","Decoction made from hand full of Neem leaves should be applied to scalp one hour before bath."
"Indigestion","5-10 ml. Nimbu (lemon) juice with a pinch of salt and pepper before food."
"Dehydration/ sun stroke","One Nimbu (lemon) squeezed into a glass of water mixed with salt and sugar."
"Bleeding gums","The Nimbu (lemon) fruit skin should be crushed & rubbed gently twice a day regularly to the gums."
"Loss of appetite","5 ml. Nimbu (lemon) juice with salt and a pinch of pepper before meals."
"Hair fall","Coconut oil processed with the Nimbu (lemon) fruit skin dried & powdered."
"Vomiting","5-10 ml Nimbu (lemon) juice mixed with water, sugar and a pinch of salt frequently in small quantities."
"Sun stroke","Use plenty of Pyaj (onion) for prevention of sun stroke."
"Cold/cough","In children the decoction made from a piece of Pyaj (onion) should be given with Jaggery thrice daily."
"Dysentery","White Pyaj (onion) chopped & fried in ghee should be eaten with rice."
"Indigestion","2gm. Pippali (long pepper) powder with guda twice daily before meal."
"Cold/Cough","2 gm. Pippali (long pepper) powder with honey thrice a day in divided doses or 10-20 ml. decoction with 2-3 gm powder of Pippali, ginger, black pepper with sugar or honey 2-3 times a day."
"Pyorrhoea","Decoction of Pippali (long pepper) with honey & ghee to keep inside mouth for some time in the morning & before bed time."
"Diarrhea","Mix 2-3 gm. Pippali (long pepper) powder in 1 litre buttermilk and divide equally into 4 parts. Take 1 part 6th hourly."
"Cold with fever","2 gm. Pippali (long pepper) powder with honey twice daily."
"Indigestion","3-5 gm. Saunf (fennel) powder with powder of fried Jeera and rock-salt with warm water thrice daily."
"Diarrhea/Dysentery","3-5 gm. Saunf (fennel) powder with buttermilk 3-4 times daily."
"Abdominal pain","3-5 gm. Saunf (fennel) powder with buttermilk 3-4 times daily."
"Bad breath","Little quantity of Saunf (fennel) should be chewed after food."
"Loss of appetite","3-5 gm. powder of roasted Saunf (fennel) with buttermilk, little pepper powder & salt twice daily."
"Cough/ Cold","5-10 ml. Tulsi (holy basil) juice twice or thrice a day with honey."
"Fever","30 ml. decoction from handful of Tulsi (holy basil) leaves & 5 gm. Dhania thrice a day."
"Skin allergy","5-10 ml. Tulsi (holy basil) juice twice or thrice daily."
"Greying of hair","Coconut oil processed with Tulsi (holy basil) juice for regular use."
"Wound/ ulcer","Tulsi (holy basil) juice mixed with honey & Haldi powder for application."
"Ear pain","2-3 luke warm drops of Tulsi (holy basil) juice 2 times daily (Do not use when there is discharge)."
"Indigestion","Drink cumin (jeera) tea or chew on a small piece of jaggery with dry ginger (sonth)."
"Acid Reflux","Sip cold milk with a pinch of cardamom (elaichi) or chew on licorice (mulethi) root."
"Constipation","Eat soaked figs (anjeer) overnight or drink triphala tea before bed."
"Diarrhea","Drink black tea with lemon or consume pomegranate peel decoction."
"Bloating","Chew on carom seeds (ajwain) with black salt or apply hing (asafoetida) paste on the navel."
"Asthma","Inhale steam with camphor or drink ginger tea with honey."
"Bronchitis","Take a mixture of honey and turmeric in warm milk."
"Sinus Infection","Apply a paste of mustard oil and camphor on the forehead."
"Dry Cough","Drink warm milk with turmeric and ghee."
"Sore Throat","Gargle with fenugreek (methi) seed water or betel leaf juice."
"Psoriasis","Apply mahua oil or neem oil mixed with turmeric."
"Vitiligo","Apply a paste of black gram (urad dal) and ginger juice."
"Dark Spots","Rub papaya pulp or tomato juice on the skin."
"Acne Scars","Apply rosehip oil or sandalwood paste with milk."
"Wrinkles","Massage with almond oil or apply egg white mask."
"Migraine","Apply a paste of sandalwood and milk on the forehead."
"Joint Pain","Massage with sesame oil infused with garlic."
"Back Pain","Apply a warm compress with mustard oil and salt."
"Toothache","Place a clove or betel leaf on the affected tooth."
"Muscle Cramps","Drink water boiled with celery seeds (ajmoda)."
"Insomnia","Drink warm milk with nutmeg or valerian root tea."
"Depression","Consume saffron (kesar) milk or Brahmi (gotu kola) tea."
"Anxiety","Drink lavender tea or practice deep breathing with basil (tulsi) tea."
"Memory Boost","Chew on 5-6 soaked almonds daily or consume ginkgo biloba tea."
"ADHD (Focus Issues)","Drink rosemary tea or consume omega-3-rich flaxseeds."
"PCOS","Drink spearmint tea or consume flaxseed powder daily."
"Irregular Periods","Drink aloe vera juice or consume sesame seeds with jaggery."
"Menstrual Cramps","Apply castor oil packs or drink raspberry leaf tea."
"Vaginal Yeast Infection","Apply diluted apple cider vinegar or insert a garlic clove (wrapped in gauze)."
"Low Breast Milk Supply","Eat oats or drink Shatavari (asparagus root) tea."
"Erectile Dysfunction","Consume dates with milk or ashwagandha powder."
"Prostate Enlargement","Drink saw palmetto tea or pumpkin seed oil."
"Low Testosterone","Eat maca root powder or fenugreek sprouts."
