Name of State/UT,Name of District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Madhya Pradesh,Gwalior,Measles,10,00,04-03-2023,
Odisha,Rayagada,Fever with rash,12,00,12-02-23,
Tamil Nadu,Tenkasi,Leptospirosis & Dengue,23,00,20-02-2023,
Uttarakhand,Rudra Prayag,Typhoid,18,00,07-03-2023,
Andhra Pradesh,NTR,Acute Diarrheal Disease,22,0,18-03-2023,24-03-2023
Haryana,Sonipat,Food Poisoning,63,0,24-03-2023,25-03-2023
Jharkhand,Hazaribagh,Fever with Rash,16,0,22-03-2023,22-03-2023
Kerala,Ernakulam,Food Poisoning,23,0,21-03-2023,22-03-2023
Kerala,Kollam,Food Poisoning,23,0,25-03-2023,25-03-2023
Karnataka,Bagalkote,Chickenpox,10,0,20-03-2023,21-03-2023
Karnataka,Mandya,Fever with Rash,8,0,20-03-2023,21-03-2023
Karnataka,Yadgiri,Acute Diarrheal Disease,18,0,18-03-2023,23-03-2023
Meghalaya,West Garo Hills,Human Rabies,1,1,02-03-2023,23-03-2023
Odisha,Koraput,Fever with rash,30,0,18-03-2023,03-04-2023
West Bengal,South 24 Parganas,Food Poisoning,88,0,25-03-2023,25-03-2023
West Bengal,South 24 Parganas,Food Poisoning,120,0,20-03-2023,21-03-2023
Andhra Pradesh,Srikakulam,Food Poisoning,37,0,13-03-2023,
Chhattisgarh,Janjgir-Champa,Chickenpox,15,0,24-02-2023,
Jharkhand,East Singhbum,Chickenpox,36,0,16-03-2023,
Kerala,Malappuram,Suspected Typhoid,32,0,16-03-2023,
Karnataka,Vijaypur,Chickenpox,25,0,06-02-2023,
Meghalaya,East Jaintia Hills,Human Rabies,1,1,15-03-2023,
Odisha,Subarnapur,Chickenpox,12,0,10-03-2023,
Gujarat,Panchmahal,Acute Diarrheal Disease,29,0,31-03-2023,31-03-2023
Karnataka,Ballari,Acute Diarrheal Disease,95,0,27-03-2023,30-03-2023
Karnataka,Bagalkote,Chickenpox,24,0,29-03-2023,31-03-2023
Karnataka,Chitradurga,Chickenpox,19,0,23-03-2023,28-03-2023
Karnataka,Chamarajanagar,Chickenpox,14,0,27-03-2023,31-03-2023
Karnataka,Raichur,Acute Diarrheal Disease,10,0,28-03-2023,29-03-2023
West Bengal,Hooghly,Acute Diarrheal Disease,57,0,26-03-2023,26-03-2023
West Bengal,South 24 Parganas,Acute Diarrheal Disease,157,0,26-03-2023,28-03-2023
Bihar,Madhubani,Chickenpox,28,0,24-01-2023,
Kerala,Palakkad,Chickenpox,12,0,13-03-2023,
Maharashtra,Pune,Measles,28,0,19-01-2023,
Maharashtra,Raigad,Leptospirosis,20,1,06-02-2023,
Odisha,Ganjam,Chickenpox,58,0,15-03-2023,
Chhattisgarh,Balod,Chickenpox,12,0,05-04-2023,06-04-2023
Chhattisgarh,Bilaspur,Chickenpox,19,0,03-04-2023,04-04-2023
Kerala,Malappuram,Food Poisoning,71,0,02-04-2023,10-04-2023
Kerala,Thiruvananthapuram,Acute Diarrheal Disease,234,0,05-04-2023,05-04-2023
Kerala,Thiruvananthapuram,Acute Diarrheal Disease,335,0,04-04-2023,05-04-2023
Kerala,Wayanad,Food Poisoning,16,0,04-04-2023,05-04-2023
Madhya Pradesh,Khargone,Food Poisoning,53,0,06-04-2023,06-04-2023
Meghalaya,West Garo Hills,Chickenpox,16,0,03-04-2023,03-04-2023
Meghalaya,West Jaintia Hills,Human Rabies,1,1,30-03-2023,05-04-2023
Odisha,Cuttack,Food Poisoning,114,0,08-04-2023,08-04-2023
Odisha,Cuttack,Acute Diarrheal Disease,52,0,08-04-2023,08-04-2023
Odisha,Koraput,Fever with Rash,27,0,05-04-2023,06-04-2023
Punjab,Bathinda,Measles,11,0,29-03-2023,06-04-2023
Punjab,Jalandhar,Cholera,10,0,04-04-2023,08-04-2023
Punjab,Sri Muktsar Sahib,Measles,5,0,06-04-2023,06-04-2023
West Bengal,North 24 Parganas,Acute Diarrheal Disease,351,0,04-04-2023,04-04-2023
West Bengal,Paschim Medinipur,Acute Diarrheal Disease,123,0,02-04-2023,03-04-2023
Assam,Chirang,Measles,8,0,21-03-2023,
Madhya Pradesh,Khargone,Food Poisoning,75,0,27-03-2023,
Tamil Nadu,Pudukkottai,Suspected Dengue,11,0,27-03-2023,
Uttar Pradesh,Farrukhabad,Chickenpox,23,0,17-03-2023,
Bihar,Muzaffarpur,Acute Encephalitic Syndrome,1,0,12-04-2023,13-04-2023
Kerala,Palakkad,Hepatitis A,13,0,10-04-2023,18-04-2023
Karnataka,Bellary,Dengue,15,0,12-04-2023,15-04-2023
Karnataka,Chikkaballapura,Suspected Rabies Death,1,1,08-04-2023,10-04-2023
Karnataka,Dharwad,Acute Diarrheal Disease,13,0,11-04-2023,11-04-2023
Karnataka,Vijayanagar,Food Poisoning,32,0,11-04-2023,12-04-2023
Odisha,Koraput,Fever with Rash,13,0,11-04-2023,15-04-2023
Punjab,S.A.S Nagar,Acute Diarrheal Disease,19,0,07-04-2023,11-04-2023
West Bengal,Basirhat,Food Poisoning,87,0,12-04-2023,12-04-2023
West Bengal,Diamond Harbour,Food Poisoning,114,0,16-04-2023,17-04-2023
Bihar,Aurangabad,Fever with Rash,17,0,31-03-2023,
Bihar,Muzaffarpur,Acute Encephalitic Syndrome,1,0,05-04-2023,
Jharkhand,East Singbhum,Chickenpox,19,0,15-03-2023,
Kerala,Ernakulam,Hepatitis A,20,0,24-03-2023,
Kerala,Kollam,Food Poisoning,47,0,02-04-2023,
Karnataka,Hassan,Human Rabies,1,1,06-04-2023,
Karnataka,Hassan,Human Rabies,1,1,05-04-2023,
Karnataka,Mandya,Suspected Rabies Death,1,1,05-04-2023,
Uttar Pradesh,Gonda,Chickenpox,12,0,28-03-2023,
Bihar,Banka,Fever with Rash,17,0,11-04-2023,17-04-2023
Jammu and Kashmir,Shopian,Hepatitis A,5,0,21-04-2023,21-04-2023
Jharkhand,East Singhbum,Chickenpox,14,0,15-04-2023,17-04-2023
Kerala,Ernakulam,West Nile Fever,1,0,23-03-2023,25-04-2023
Kerala,Malappuram,Food Poisoning,19,0,11-04-2023,24-04-2023
Kerala,Thrissur,West Nile Fever,1,0,08-04-2023,25-04-2023
Karnataka,Bidar,Acute Diarrheal Disease,40,0,19-04-2023,20-04-2023
Karnataka,Bangalore,Acute Diarrheal Disease,297,0,19-04-2023,22-04-2023
Karnataka,Dakshina Kannada,Measles,15,0,18-03-2023,21-04-2023
Karnataka,Kalaburagi,Acute Diarrheal Disease,11,0,19-04-2023,21-04-2023
Karnataka,Mandya,Measles,7,0,18-04-2023,18-04-2023
Karnataka,Tumkur,Acute Diarrheal Disease,50,0,22-04-2023,23-04-2023
Odisha,Koraput,Acute Diarrheal Disease,30,0,20-04-2023,21-04-2023
Odisha,Sundargarh,Acute Diarrheal Disease,25,0,18-04-2023,21-04-2023
Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,17,0,22-04-2023,23-04-2023
West Bengal,Purulia,Acute Diarrheal Disease,89,0,19-04-2023,20-04-2023
Kerala,Kasaragod,Acute Diarrheal Disease,0,0,12-04-2023,
Kerala,Kannur,West Nile Fever,1,0,27-03-2023,
Kerala,Kannur,Hepatitis A,25,0,18-03-2023,
Karnataka,Davangere,Measles,14,1,24-03-2023,
Karnataka,Gadag,Measles,61,0,12-04-2023,
Karnataka,Tumkur,Human Rabies,1,1,16-02-2023,
Chhattisgarh,Narayanpur,Acute Diarrheal Disease,26,0,29-04-2023,30-04-2023
Gujarat,Gandhinagar,Acute Diarrheal Disease,50,0,26-04-2023,29-04-2023
Karnataka,Bagalkote,Suspected Measles,13,0,25-04-2023,26-04-2023
Karnataka,Chikkaballapura,Acute Diarrheal Disease,17,0,26-04-2023,26-04-2023
Karnataka,Hassan,Acute Diarrheal Disease,20,0,28-04-2023,29-04-2023
Kerala,Malappuram,Food Poisoning,23,0,24-04-2023,03-05-2023
Madhya Pradesh,Mandsaur,Food Poisoning,125,0,19-04-2023,26-04-2023
Maharashtra,Nanded,Dengue,13,0,28-04-2023,30-04-2023
Meghalaya,East Khasi Hills,Chickenpox,25,0,24-04-2023,25-04-2023
Meghalaya,Ri Bhoi,Human Rabies,1,1,20-03-2023,28-04-2023
Odisha,Mayurbhanj,Acute Diarrheal Disease,65,0,23-04-2023,27-04-2023
Punjab,S.A.S Nagar,Acute Diarrheal Disease,22,0,27-04-2023,28-04-2023
Tamil Nadu,Thanjavur,Acute Diarrheal Disease,18,0,27-04-2023,27-04-2023
Telangana,Hyderabad,Acute Diarrheal Disease,65,0,27-04-2023,29-04-2023
West Bengal,Basirhat HD,Viral Hepatitis A & E,93,0,24-04-2023,25-04-2023
West Bengal,Hooghly,Food Poisoning,77,0,25-04-2023,26-04-2023
Jharkhand,Jamtara,Chickenpox,11,0,05-04-2023,
Jharkhand,Jamtara,Chickenpox,21,0,04-04-2023,
Assam,Bongaigaon,Japanese Encephalitis,1,0,02-05-2023,03-05-2023
Bihar,Sheohar,Acute Encephalitic Syndrome,1,0,03-05-2023,03-05-2023
Gujarat,Valsad,Acute Diarrheal Disease,10,0,04-05-2023,04-05-2023
Karnataka,Davangere,Rabies,1,1,03-05-2023,03-05-2023
Karnataka,Vijayanagar,Acute Diarrheal Disease,36,0,03-05-2023,04-05-2023
Kerala,Kollam,Acute Diarrheal Disease,44,0,03-05-2023,04-05-2023
Kerala,Kannur,Food Poisoning,42,0,02-05-2023,03-05-2023
Kerala,Kannur,Food Poisoning,53,0,05-05-2023,08-05-2023
Kerala,Palakkad,Food Poisoning,10,0,04-05-2023,08-05-2023
Kerala,Thrissur,Food Poisoning (Shigella Sonnie),7,1,02-05-2023,10-05-2023
Madhya Pradesh,Neemuch,Measles,6,0,28-04-2023,02-05-2023
Odisha,Koraput,Anthrax,5,0,30-04-2023,02-05-2023
Odisha,Sundargarh,Food Poisoning,34,0,03-05-2023,04-05-2023
Maharashtra,Yavatmal,Food Poisoning,50,0,03-05-2023,03-05-2023
Uttar Pradesh,Jalaun,Chickenpox,3,0,30-04-2023,01-05-2023
West Bengal,Paschim Medinipur,Food Poisoning,59,0,06-05-2023,07-05-2023
Assam,Golaghat,Chickenpox,5,0,26-04-2023,
Assam,Marigaon,Acute Flaccid Paralysis,2,0,20-03-2023,
Assam,Udalguri,Dengue,1,0,27-04-2023,
Bihar,Rohtas,Fever with Rash,5,0,25-03-2023,
Gujarat,Surat,Measles,6,0,03-04-2023,
Gujarat,Surat,Measles,6,0,03-04-2023,
Jharkhand,Giridih,Measles,7,0,01-04-2023,
Jharkhand,Khunti,Fever with Rash,15,0,27-04-2023,
Karnataka,Dakshina Kannada,Leptospirosis,1,1,04-04-2023,
Kerala,Ernakulam,Dengue,23,0,16-04-2023,
Kerala,Pathanamthitta,Dengue,10,0,09-04-2023,
Madhya Pradesh,Indore,Food Poisoning,23,0,18-04-2023,
Meghalaya,East Khasi Hills,Chickenpox,23,0,23-04-2023
Jharkhand,Giridih,Measles,34,04,28-12-2022,05-01-2023  
Karnataka,Koppal,Animal Bite - Dog Bite,01,01,04-01-2023,05-01-2023  
Kerala,Ernakulam,Acute Diarrheal Disease,73,00,04-01-23,10-01-23  
Kerala,Kannur,Food Poisoning,16,00,05-01-23,11-01-23  
Kerala,Malappuram,Monkey Pox,02,00,25-11-22,06-01-23  
Kerala,Malappuram,Measles,58,00,14-11-22,06-01-23  
Kerala,Malappuram,Hepatitis A,49,00,11-11-22,06-01-22  
Kerala,Pathanamthitta,Food Poisoning,32,00,07-01-23,09-01-23  
Kerala,Wayanad,Measles,16,00,05-01-23,06-01-23  
Maharashtra,Akola,Food Poisoning,88,00,31-12-2022,02-01-2023  
Odisha,Bargarh,Acute Diarrheal Disease,34,00,02-01-2023,02-01-2023  
Tamil Nadu,Pudukkottai,Acute Diarrheal Disease,122,00,05-01-2023,06-01-2023  
Tamil Nadu,Pudukkottai,Leptospirosis,09,00,04-01-2023,05-01-2023  
Uttar Pradesh,Fatehpur,Measles,11,00,04-01-2023,05-01-2023  
Uttar Pradesh,Fatehpur,Measles,29,00,29-12-2022,05-01-2023  
Assam,Goalpara,Chickenpox,19,00,17-12-2022,  
Bihar,Bhojpur,Chickenpox,23,00,16-12-2022,  
Bihar,Madhubani,Chickenpox,20,00,08-12-2022,  
Gujarat,Junagadh,Measles,12,00,15-10-2022,  
Gujarat,Surat,Measles,12,00,15-10-2022,  
Jharkhand,Simdega,Chickenpox,12,00,14-12-2022,  
Madhya Pradesh,Gwalior,Diphtheria,02,01,21-10-2022,  
Madhya Pradesh,Bhind,Chikungunya,118,00,08-11-2022,  
Meghalaya,South Garo Hills,Dengue,33,00,15-10-2022,  
Meghalaya,East Khasi Hills,Acute Diarrheal Disease,31,00,16-12-2022,  
Maharashtra,Thane,Dengue,03,01,21-09-2022,  
Maharashtra,Amravati,Acute Diarrheal Disease,44,00,16-12-2022,  
Mizoram,Serchhip,Food Poisoning,22,00,01-12-2022,  
Uttar Pradesh,Bhadohi,Measles,21,00,23-11-2022,  
Uttar Pradesh,Farrukhabad,Measles,19,00,06-12-2022,  
Uttar Pradesh,Pilibhit,Leptospirosis,53,00,09-11-2022,  
Uttar Pradesh,Pratapgarh,Measles,27,00,14-12-2022,  
Assam,Jorhat,Japanese Encephalitis,02,00,16-05-2023,16-05-2023
Assam,Karbi Anglong,Dysentery (Shigella),15,01,15-05-2023,16-05-2023
Karnataka,Koppal,Cholera,35,00,15-05-23,18-05-23
Karnataka,Koppal,Cholera,36,00,17-05-23,19-05-23
Kerala,Ernakulam,Food Poisoning,70,00,21-05-23,23-05-23
Kerala,Kannur,Food Poisoning,23,00,15-05-23,18-05-23
Kerala,Malappuram,Food Poisoning,135,00,17-05-23,19-05-23
Kerala,Pathanamthitta,Dengue,10,00,18-05-23,20-05-23
Madhya Pradesh,Ashoknagar,Fever with Rash,06,00,13-05-2023,16-05-2023
Maharashtra,Yavatmal,Food Poisoning,21,00,17-05-2023,19-05-2023
Odisha,Jaipur,Food Poisoning,16,00,20-05-23,20-05-23
West Bengal,Purulia,Acute Diarrheal Disease,30,00,17-05-2023,18-05-2023
West Bengal,Purulia,Food Poisoning,60,00,16-05-23,17-05-23
Chhattisgarh,Surguja,Fever,18,00,18-04-2023,
Gujarat,Surat,Measles,06,00,10-04-2023,
Jammu and Kashmir,Udhampur,Measles,04,00,01-05-2023,
Kerala,Ernakulam,Dengue,26,00,30-03-23,
Kerala,Pathanamthitta,Dengue,08,00,03-05-23,
Kerala,Trivandrum,Adenovirus,117,00,29-04-23,
Uttar Pradesh,Fatehpur,Chickenpox,22,00,10-05-2023,
Chhattisgarh,Surguja,Fever,06,00,23-05-2023,24-05-2023
Gujarat,Junagadh,Food Poisoning,109,00,21-05-2023,22-05-2023
Jharkhand,West Singhbhum,Chickenpox,07,00,23-05-2023,23-05-2023
Karnataka,Dakshina Kannada,Acute Diarrheal Disease,16,00,22-05-23,22-05-23
Karnataka,Haveri,Acute Diarrheal Disease,52,00,23-05-23,24-05-23
Karnataka,Raichur,Acute Diarrheal Disease,50,01,25-05-23,26-05-23
Karnataka,Raichur,Cholera,61,00,25-05-23,26-05-23
Karnataka,Raichur,Acute Diarrheal Disease,17,00,27-05-23,28-05-23
Kerala,Alappuzha,West Nile Fever,01,00,27-05-23,27-05-23
Kerala,Kollam,Food Poisoning,15,00,26-05-2023,27-05-2023
Kerala,Kozhikode,Monkey Pox,01,00,24-05-23,29-05-23
Kerala,Kannur,Food Poisoning,43,00,26-05-23,27-05-23
Kerala,Wayanad,Food Poisoning,46,00,19-05-23,26-05-23
Madhya Pradesh,Katni,Measles,09,00,22-04-2023,22-05-2023
Odisha,Koraput,Suspected Anthrax,07,00,28-05-23,01-06-23
Andhra Pradesh,Anantapur,Acute Diarrheal Disease (Klebsiella),32,01,09-05-2023,
Gujarat,Surat,Measles,10,00,05-04-2023,
Gujarat,Surat,Fever with Rash,07,00,15-04-2023,
Gujarat,Surat,Measles,08,00,15-04-2023,
Kerala,Kozhikode,Dengue,15,00,10-05-23,
Kerala,Kottayam,Suspected Dengue,05,00,08-05-23,
Kerala,Kannur,Acute Diarrheal Disease,51,00,17-05-23,
Kerala,Kannur,West Nile Fever,01,00,11-05-23,
Kerala,Malappuram,Dengue,09,00,11-05-23,
Kerala,Thrissur,Dengue,63,00,26-04-23,
Assam,Cachar,Human Rabies,1,1,27-05-2023,29-05-2023
Assam,Marigoon,Scrub Typhus,2,0,30-05-2023,31-05-2023
Bihar,Supaul,Acute Diarrheal Disease,50,0,29-05-2023,29-05-2023
Chhattisgarh,Balod,Acute Diarrheal Disease,38,0,28-05-2023,03-06-2023
Jharkhand,East Singhbum,Fever with Rash,14,0,02-06-2023,02-06-2023
Karnataka,Davanagere,Food Poisoning,15,0,02-06-23,03-06-23
Karnataka,Dakshina Kannada,Acute Diarrheal Disease,27,0,02-06-23,03-06-23
Karnataka,Koppal,Cholera,32,0,03-06-23,04-06-23
Karnataka,Raichur,Cholera,101,0,02-06-23,03-06-23
Kerala,Alappuzha,Dengue,22,0,29-05-23,02-06-23
Kerala,Kasaragod,Food Poisoning,47,0,01-06-23,02-06-23
Kerala,Kollam,Food Poisoning,24,0,30-05-23,31-05-23
Kerala,Palakkad,Acute Diarrheal Disease,16,0,04-06-23,05-06-23
Kerala,Palakkad,Food Poisoning,14,0,29-05-23,07-06-23
Kerala,Thrissur,Food Poisoning,35,0,30-05-23,03-06-23
Kerala,Wayanad,Food Poisoning,114,0,29-05-23,02-06-23
Maharashtra,Gadchiroli,Malaria,19,1,29-05-2023,29-05-2023
Maharashtra,Satara,Food Poisoning,101,0,30-05-2023,03-06-2023
Punjab,Bathinda,Measles,3,0,01-06-2023,01-06-2023
Tripura,Unakoti,Acute Diarrheal Disease,23,0,31-05-2023,01-06-2023
West Bengal,Nadia,Acute Diarrheal Disease,49,0,09-06-23,10-06-23
West Bengal,Pachim Medinipur,Food Poisoning,78,0,03-06-23,03-06-23
Assam,Darrang,Acute Diarrheal Disease,7,0,25-05-2023,
Assam,Marigoon,Measles,8,0,24-05-2023,
Assam,Tinsukia,Mushroom Poisoning,7,0,26-05-2023,
Bihar,Gaya,Acute Diarrheal Disease,12,0,25-05-2023,
Chhattisgarh,Raipur,Acute Diarrheal Disease,9,0,23-05-2023,
Jharkhand,East Singhbum,Chickenpox,11,0,23-05-2023,
Kerala,Ernakulam,Dengue,41,0,09-05-23,
Kerala,Idukki,Dengue,16,0,22-05-23,
Kerala,Idukki,Dengue,9,0,22-05-23,
Kerala,Kottayam,Dengue,11,0,22-05-23,
Kerala,Kottayam,Dengue,9,0,22-05-23,
Kerala,Pathanamthitta,Dengue,19,0,23-05-23,
Kerala,Thrissur,Dengue,48,0,04-05-23,
Kerala,Thiruvananthapuram,Dengue,12,0,15-04-23,
Kerala,Wayanad,Measles,29,0,01-04-23,
Kerala,Wayanad,Acute Gastroenteritis,45,0,22-05-2023,
Mizoram,Aizawl,Fever,30,0,25-05-2023,
Madhya Pradesh,Ashoknagar,Fever with Rash,6,0,25-05-2023,
Maharashtra,Gadchiroli,Malaria,6,1,25-05-2023,
Maharashtra,Gadchiroli,Malaria,21,1,23-05-2023,
Punjab,Bathinda,Measles,5,0,24-05-2023,
Chhattisgarh,Narayanpur,Acute Diarrheal Disease,5,0,04-06-2023,05-06-2023
Gujarat,Valsad,Food Poisoning,9,0,06-06-2023,07-06-2023
Karnataka,Bagalakote,Cholera,13,0,05-06-23,06-06-23
Karnataka,BBMP,Acute Diarrheal Disease,99,0,07-06-23,10-06-23
Karnataka,Hassan,Acute Diarrheal Disease,12,0,06-06-23,07-06-23
Karnataka,Hassan,Acute Diarrheal Disease,35,0,07-06-23,07-06-23
Karnataka,Koppal,Cholera,34,0,05-06-23,05-06-23
Karnataka,Koppal,Acute Gastroenteritis,48,0,06-06-23,07-06-23
Karnataka,Koppal,Cholera,124,1,06-06-2023,07-06-23
Karnataka,Koppal,Acute Gastroenteritis,21,0,07-06-23,08-06-23
Karnataka,Koppal,Cholera,27,0,06-06-23,08-06-23
Karnataka,Koppal,Acute Diarrheal Disease,63,0,08-06-23,08-06-23
Karnataka,Raichur,Acute Diarrheal Disease,21,0,06-06-23,07-06-23
Kerala,Kollam,Food Poisoning,13,0,03-06-2023,05-06-2023
Kerala,Kannur,Acute Diarrheal Disease,30,0,05-06-23,07-06-23
Kerala,Malappuram,Food Poisoning,175,0,04-06-23,12-06-23
Kerala,Palakkad,Acute Diarrheal Disease,9,0,08-06-23,12-06-23
Madhya Pradesh,Gwalior,Measles,6,1,05-06-2023,05-06-2023
Maharashtra,Yavatmal,Acute Diarrheal Disease,107,0,03-06-2023,05-06-2023
Odisha,Koraput,Food Poisoning,149,0,04-06-23,04-06-23
Uttarakhand,Pauri Garhwal,Fever,25,0,07-06-2023,07-06-2023
Uttar Pradesh,Unnao,Food Poisoning,20,0,04-06-2023,07-06-2023
Gujarat,Sabarkantha,Measles,16,0,02-05-2023,
Karnataka,Udupi,Acute Diarrheal Disease,3,2,25-05-23,
Kerala,Ernakulam,Dengue,31,0,10-05-23,
Uttar Pradesh,Fatehpur,Measles,3,0,16-05-2023,
Andhra Pradesh,YSR Kadapa,Acute Diarrheal Disease,23,0,10-06-2023,12-06-2023
Assam,Dhemaji,Acute Diarrheal Disease,7,0,16-06-2023,16-06-2023
Assam,Dibrugarh,Cholera,1,0,12-06-2023,12-06-2023
Assam,Lakhimpur,Rabies,1,1,13-06-2023,13-06-2023
Bihar,Arwal,Fever with Rash,5,0,13-06-2023,14-06-2023
Jammu and Kashmir,Bandipora,Jaundice,17,0,16-06-2023,16-06-2023
Jammu and Kashmir,Bandipora,Hepatitis A,16,0,16-06-2023,16-06-2023
Jharkhand,Lohardaga,Acute Diarrheal Disease,5,0,16-06-2023,16-06-2023
Karnataka,Ballari,Acute Diarrheal Disease,19,0,17-06-23,17-06-23
Karnataka,Dharwad,Acute Diarrheal Disease,30,0,12-06-23,12-06-23
Karnataka,Hassan,Acute Diarrheal Disease,30,0,12-06-23,12-06-23
Karnataka,Koppal,Cholera,25,0,14-06-23,15-06-23
Karnataka,Koppal,Acute Diarrheal Disease,48,0,14-06-23,15-06-23
Karnataka,Shivamogga,Cholera,124,0,12-06-23,16-06-23
Karnataka,Udupi,Acute Diarrheal Disease,15,0,16-06-23,15-06-23
Karnataka,Vijayanagara,Suspected Human Rabies,1,1,13-06-23,13-06-23
Maharashtra,Osmanabad,Dengue,10,0,15-06-2023,27-06-2023
Maharashtra,Satara,Acute Diarrheal Disease,23,1,12-06-2023,14-06-2023
Maharashtra,Washim,Dengue,48,0,12-06-2023,12-06-2023
Nagaland,Longleng,Acute Diarrheal Disease,48,0,17-06-2023,18-06-2023
Rajasthan,Dausa,Acute Diarrheal Disease,236,0,15-06-2023,16-06-2023
Uttarakhand,Pauri Garhwal,Dysentery,20,0,15-06-2023,16-06-2023
West Bengal,Diamond Harbour,Acute Diarrheal Disease,97,0,11-06-23,13-06-23
Karnataka,Udupi,Suspected Human Rabies,1,1,06-06-23,
Karnataka,Vijayapur,Acute Diarrheal Disease,41,0,02-06-23,
Kerala,Ernakulam,Dengue,17,0,06-05-23,
Uttarakhand,Almora,Acute Diarrheal Disease,97,0,08-01-2023,
Andhra Pradesh,Chittoor,Dengue,6,0,14/06/2023,20/06/2023
Andhra Pradesh,East Godavari,Acute Diarrheal Disease,23,0,16/06/2023,20/06/2023
Andhra Pradesh,East Godavari,Food Poisoning,14,0,17/06/2023,20/06/2023
Andhra Pradesh,West Godavari,Fever,17,0,17/06/2023,20/06/2023
Andhra Pradesh,Y.S.R Kadapa,Dengue,6,0,15/06/2023,20/06/2023
Andhra Pradesh,Y.S.R Kadapa,Food Poisoning,11,0,17/06/2023,20/06/2023
Andhra Pradesh,Y.S.R Kadapa,Typhoid,7,0,19/06/2023,20/06/2023
Andhra Pradesh,Y.S.R Kadapa,Acute Diarrheal Disease,12,0,17/06/2023,20/06/2023
Bihar,Katihar,Food Poisoning,15,0,15/06/2023,20/06/2023
Delhi,New Delhi,Dengue,10,0,17/06/2023,21/06/2023
Delhi,New Delhi,Chikungunya,8,0,18/06/2023,21/06/2023
Gujarat,Kheda,Food Poisoning,42,0,15/06/2023,21/06/2023
Himachal Pradesh,Chamba,Dengue,5,0,15/06/2023,21/06/2023
Jharkhand,East Singhbhum,Acute Diarrheal Disease,25,0,18/06/2023,21/06/2023
Karnataka,Belagavi,Chikungunya,9,0,16/06/2023,20/06/2023
Karnataka,Belagavi,Food Poisoning,12,0,19/06/2023,20/06/2023
Karnataka,Chikkamagaluru,Dengue,15,0,16/06/2023,20/06/2023
Karnataka,Kolar,Typhoid,18,0,18/06/2023,20/06/2023
Kerala,Ernakulam,Leptospirosis,6,0,17/06/2023,21/06/2023
Kerala,Kozhikode,Food Poisoning,38,0,18/06/2023,21/06/2023
Maharashtra,Mumbai,Malaria,22,0,15/06/2023,20/06/2023
Maharashtra,Pune,Hepatitis A,19,0,18/06/2023,20/06/2023
Odisha,Ganjam,Food Poisoning,33,0,16/06/2023,21/06/2023
Punjab,Ludhiana,Acute Diarrheal Disease,27,0,17/06/2023,20/06/2023
Rajasthan,Jaipur,Dengue,20,0,18/06/2023,21/06/2023
Tamil Nadu,Chennai,Typhoid,13,0,17/06/2023,21/06/2023
Telangana,Hyderabad,Food Poisoning,21,0,19/06/2023,21/06/2023
Uttar Pradesh,Lucknow,Acute Diarrheal Disease,34,0,16/06/2023,21/06/2023
Uttarakhand,Dehradun,Dengue,11,0,15/06/2023,21/06/2023
West Bengal,Kolkata,Malaria,29,0,18/06/2023,21/06/2023
