Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Madhya Pradesh,Badwani,Acute Diarrheal Disease,17,00,02-07-21,03-07-21
Kerala,Ernakulam,Food Poisoning,128,00,30-06-21,06-07-21
Kerala,Alappuzha,Food Poisoning,616,00,28-06-21,01-07-21
Karnataka,Chitradurga,Food Poisoning,32,00,28-06-21,30-06-21
Karnataka,Davanagere,Acute Diarrheal Disease,31,00,29-06-21,29-06-21
Punjab,Patiala,Acute Diarrheal Disease,20,01,29-06-21,04-07-21
West Bengal,Purulia,Acute Diarrheal Disease,37,00,04-07-21,04-07-21
West Bengal,Jhargram,Food Poisoning,34,00,01-07-21,01-07-21
Andhra Pradesh,Visakhapatnam,Food Poisoning,18,00,17-06-21,
Assam,Dhemaji,Scrub Typhus,01,00,14-06-21,
Assam,Lakhimpur,Japanese Encephalitis,01,00,25-06-21,
Assam,Lakhimpur,Japanese Encephalitis,01,01,17-06-21,
Maharashtra,Aurangabad,Suspected Dengue,05,01,25-06-21,
Maharashtra,Nandurbar,Acute Diarrheal Disease,07,00,19-06-21,
Maharashtra,Pune,Dengue,06,00,24-06-21,
Kerala,Palakkad,Suspected Dengue,09,00,10-06-21,
Kerala,Palakkad,Dengue,08,00,10-06-21,
Chhattisgarh,Raigarh,Acute Diarrheal Disease,27,00,07-07-2022,10-07-2022
Haryana,Kaithal,Hepatitis A,13,00,07-07-22,13-07-22
Haryana,Nuh,Measles,08,00,06-07-22,07-07-2022
Jharkhand,West Singhbhum,Fever with Rash,5,0,07-07-2022,07-07-2022
Karnataka,Bidar,Chikungunya,36,00,06-07-22,07-07-22
Karnataka,Chitradurga,Japanese Encephalitis,01,00,03-07-22,05-07-22
Karnataka,Raichur,Acute Diarrheal Disease,42,00,03-07-22,04-07-22
Karnataka,Vijayapura,Acute Diarrheal Disease,54,00,03-07-22,04-07-22
Maharashtra,Chandrapur,Acute Diarrheal Disease,45,0,04-07-2022,05-07-2022
Odisha,Subarnapur,Acute Diarrheal Disease,24,00,04-07-22,11-07-22
Odisha,Sundargarh,Food Poisoning,108,00,05-07-22,06-07-22
Punjab,Fatehgarh Sahib,Dengue,19,00,28-07-2022,04-08-2022
Telangana,Jogulamba Gadwal,Acute Diarrheal Disease,38,00,07-07-2022,09-07-2022
Telangana,Jogulamba Gadwal,Acute Diarrheal Disease,65,00,28-07-2022,07-08-2022
Uttarakhand,Rudraprayag,Acute Diarrheal Disease,12,00,04-07-22,10-07-22
Uttar Pradesh,Rae Bareli,Chickenpox,25,00,02-07-2022,07-07-2022
Jharkhand,Simdega,Malaria,148,1,28-06-2022,
Kerala,Ernakulam,Dengue,85,00,27-06-22,
Kerala,Thrissur,Shigella,01,00,01-07-22,
Kerala,Kollam,Dengue,42,00,16-06-22,
Madhya Pradesh,Khargone,Acute Diarrheal Disease,19,00,01-07-2022,
Mizoram,Aizawl,Visceral Leishmaniosis,1,0,01-06-2022,
Mizoram,Aizawl,Acute Diarrheal Disease,24,0,22-06-2022,
Odisha,Jharsuguda,Acute Diarrheal Disease,21,1,28-01-2022,
Tamil Nadu,Thiruvarur,Food Poisoning,12,00,25-06-2022,
Telangana,Hyderabad,Acute Diarrheal Disease,65,00,27-06-22,
Andhra Pradesh,Kurnool,Acute Diarrheal Disease,41,03,25-07-21,26-07-2021
Assam,Nagaon,Japanese Encephalitis,01,00,19-07-21,20-07-21
Gujarat,Navsari,Acute Diarrheal Disease,31,00,25-07-21,25-07-21
Karnataka,Bellary,Leptospirosis,11,00,23-07-21,24-07-21
Karnataka,Mandya,Gastroenteritis,26,00,26-07-21,28-07-21
Punjab,Sangrur,Acute Diarrhealbisease,20,00,24-07-20,24-07-20
Assam,Bongaigaon,Japanese Encephalitis,02,00,07-07-21,
Assam,Lakhimpur,Japanese Encephalitis,02,00,13-07-21,
Haryana,Panchkula,Cholera,511,01,13-07-21,
Jharkhand,Godda,Acute Diarrheal Disease,08,00,14-07-21,
Jharkhand,West Singhbhum,Acute Diarrheal Disease,09,01,21-07-21,
Kerala,Palakkad,Dengue,11,00,13-06-21,
Kerala,Ernakulam,Zika,01,00,14-07-21,
Maharashtra,Chandrapur,Dengue,58,01,03-07-21,
Maharashtra,Nagpur,Dengue,04,01,10-07-21,
Andhra Pradesh,West Godavari,Convulsions of Unknown cause,29,00,17-01-21,17-01-21
Puducherry,Puducherry,Dengue,06,00,11-01-21,11-01-21
Bihar,West Champaran (Betilah),Measles,33,00,01-01-21,
Kerala,Camanore (Kamur),Visceral Leishmaniasis,01,00,25-10-20,
Kerala,Camanore (Kamur),Acute Diarrheal Disease,16,00,09-12-20,
Maharashtra,Gondia,Acute Diarrheal Disease,194,00,07-01-21,
Maharashtra,Satara,Dengue,08,00,28-12-20,
Tamil Nadu,Thiruvallur,Diphtheria,01,00,04-01-21,
Assam,Cachar,Japanese Encephalitis,01,01,20-07-21,29-07-21  
Assam,Darrang (Mangaldol),Acute Encephalitic Syndrome,01,01,15-07-21,28-07-21  
Assam,Lakhimpur,Acute Encephalitis Syndrome,01,01,22-07-21,31-07-21  
Assam,Nagaon,Japanese Encephalitis,01,00,30-07-21,31-07-21  
Assam,Udalguri,Suspected Japanese Encephalitis,01,00,27-07-21,29-07-21  
Assam,Udalguri,Acute Encephalitis Syndrome,01,01,25-07-21,29-07-21  
Gujarat,Kheda,Food Poisoning,24,00,29-07-21,29-07-21  
Gujarat,Panchmahal,Viral Encephalitis,01,01,31-07-21,02-08-21  
Haryana,Panchkula,Cholera,521,01,13-07-21,04-08-21  
Haryana,Yamuna Nagar,Acute Diarrheal Disease,31,00,31-07-21,02-08-21  
J&K,Ramban,Food Poisoning,95,01,27-07-21,02-08-21  
Jharkhand,Godda,Acute Diarrheal Disease,12,00,31-07-21,01-08-21  
Kerala,Ernakulam,Zika Virus,01,00,24-07-21,02-08-21  
Maharashtra,Ahmednagar,Fever,07,00,26-07-21,26-07-21  
Maharashtra,Bhandara,Fever,06,00,19-07-21,30-07-21  
Maharashtra,Buldhana,Dengue,07,00,01-07-21,28-07-21  
Maharashtra,Chandrapur,Fever,69,02,19-07-21,30-07-21  
Maharashtra,Gadchiroli,Malaria,04,01,24-07-21,26-07-21  
Maharashtra,Jalgaon,Fever,12,00,20-07-21,27-07-21  
Maharashtra,Nasik,Chikungunya,53,00,18-06-21,29-07-21  
Maharashtra,Osmanabad,Dengue,04,00,23-07-21,28-07-21  
Maharashtra,Pune,Chikungunya,05,00,22-07-21,29-07-21  
Punjab,Mansa,Chickenpox,04,00,02-08-21,02-08-21   
Assam,Bongaigaon, Japanese Encephalitis,10,02,11-07-21,02-08-21  
Chandigarh,Chandigarh,Cholera,08,00,01-08-21,09-08-21  
Gujarat,Vadodara,Cholera,03,00,31-07-21,09-08-21  
Haryana,Karnal,Acute Diarrheal Disease,36,00,09-08-21,16-08-21  
Haryana,Yamuna Nagar,Cholera,21,00,03-08-21,09-08-21  
Haryana,Yamuna Nagar,Acute Diarrheal Disease,21,00,03-08-21,09-08-21  
Jharkhand,Latehar,Scrub Typhus,08,00,02-08-21,02-08-21  
Jharkhand,West Singhbhum,Viral Fever,64,00,02-08-21,04-08-21  
Maharashtra,Amravati,Dengue,13,02,11-07-21,02-08-21  
Maharashtra,Beed,Chikungunya,07,00,02-08-21,03-08-21  
Maharashtra,Chandrapur,Malaria,01,01,03-08-21,07-08-21  
Maharashtra,Chandrapur,Japanese Encephalitis,01,00,16-07-21,04-08-21  
Maharashtra,Gadchiroli,Malaria,28,01,31-07-21,02-08-21  
Maharashtra,Kolhapur,Chikungunya,06,00,02-08-21,04-08-21  
Maharashtra,Raigad,Lepiospirosis,29,00,02-08-21,04-08-21  
Maharashtra,Thane,Lepiospirosis,02,02,28-06-21,05-08-21  
Punjab,Sangrur,Acute Diarrheal Disease,68,00,13-08-21,14-08-21  
West Bengal,Purulia,Acute Diarrheal Disease,22,00,06-08-21,06-08-21  
West Bengal,South 24 Parganas,Acute Diarrheal Disease,51,00,24-07-21,25-07-21  
Assam,Darrang (Mangaldoi),Leptospirosis,01,00,29-06-21,  
Assam,Lakhimpur,Scrub Typhus,01,00,27-07-21,  
Maharashtra,Chandrapur,Dengue,04,00,13-07-21,  
Maharashtra,Raigad,Dengue,18,00,11-06-21,  
Maharashtra,Satara,Chikungunya,20,00,14-07-21,  
Maharashtra,Satara,Dengue,06,00,16-07-21,  
Maharashtra,Wardha,Dengue,04,00,07-06-21,
Assam,Multiple Districts: Bongaigaon, Darrang, Lakhimpur, Marigaon, Nagaon, Udalguri,Japanese Encephalitis,10,02,11-07-21,02-08-21  
Chandigarh,Chandigarh,Cholera,08,00,01-08-21,09-08-21  
Gujarat,Vadodara,Cholera,03,00,31-07-21,09-08-21  
Haryana,Karnal,Acute Diarrheal Disease,36,00,09-08-21,16-08-21  
Haryana,Yamuna Nagar,Cholera,21,00,03-08-21,09-08-21  
Haryana,Yamuna Nagar,Acute Diarrheal Disease,21,00,03-08-21,09-08-21  
Jharkhand,Latehar,Scrub Typhus,08,00,02-08-21,02-08-21  
Jharkhand,West Singhbhum,Viral Fever,64,00,02-08-21,04-08-21  
Maharashtra,Amravati,Dengue,13,02,11-07-21,02-08-21  
Maharashtra,Beed,Chikungunya,07,00,02-08-21,03-08-21  
Maharashtra,Chandrapur,Malaria,01,01,03-08-21,07-08-21  
Maharashtra,Chandrapur,Japanese Encephalitis,01,00,16-07-21,04-08-21  
Maharashtra,Gadchiroli,Malaria,28,01,31-07-21,02-08-21  
Maharashtra,Kolhapur,Chikungunya,06,00,02-08-21,04-08-21  
Maharashtra,Raigad,Lepiospirosis,29,00,02-08-21,04-08-21  
Maharashtra,Thane,Lepiospirosis,02,02,28-06-21,05-08-21  
Punjab,Sangrur,Acute Diarrheal Disease,68,00,13-08-21,14-08-21  
West Bengal,Purulia,Acute Diarrheal Disease,22,00,06-08-21,06-08-21  
West Bengal,South 24 Parganas,Acute Diarrheal Disease,51,00,24-07-21,25-07-21  
Assam,Darrang (Mangaldoi),Leptospirosis,01,00,29-06-21,  
Assam,Lakhimpur,Scrub Typhus,01,00,27-07-21,  
Maharashtra,Chandrapur,Dengue,04,00,13-07-21,  
Maharashtra,Raigad,Dengue,18,00,11-06-21,  
Maharashtra,Satara,Chikungunya,20,00,14-07-21,  
Maharashtra,Satara,Dengue,06,00,16-07-21,  
Maharashtra,Wardha,Dengue,04,00,07-06-21,
Assam,Dima Hasao,Acute Encephalitis Syndrome,01,01,08-08-21,11-08-21,Under Control  
Gujarat,Sabarkantha,Typhoid,34,00,10-08-21,13-08-21,Under Surveillance  
Maharashtra,Kolhapur,Acute Diarrheal Disease,215,00,10-08-21,13-08-21,Under Surveillance  
Maharashtra,Thane,Chikungunya,06,00,13-08-21,13-08-21,Under Control  
Tamil Nadu,Mayliaduthurai,Food Poisoning,54,00,15-08-21,16-08-21,Under Surveillance  
Uttar Pradesh,Lucknow,Cholera,138,01,09-08-21,12-08-21,Under Control  
Uttar Pradesh,Pratapgarh,Food Poisoning,09,00,14-08-21,14-08-21,Under Surveillance  
Assam,Bongaigaon,Japanese Encephalitis,01,00,31-07-21,,Under Control  
Karnataka,Ballari,Dengue,25,00,04-08-2021,,Under Control  
Karnataka,Davanagere,Acute Gastroenteritis,30,00,09-08-2021,,Under Surveillance  
Karnataka,Haveri,Acute Gastroenteritis,48,00,13-08-2021,,Under Control  
Maharashtra,Osmanabad,Dengue,03,00,20-07-21,,Under Surveillance  
Maharashtra,Satara,Dengue,10,00,27-07-21,,Under Surveillance  
Maharashtra,Raigad,Leptospirosis,06,00,03-08-21,,Under Surveillance  
Maharashtra,Raigad,Leptospirosis,05,00,03-08-21,,Under Surveillance  
Madhya Pradesh,Burhanpur,Dengue,15,00,12-08-21,,Under Control  
Tamil Nadu,Tirunelveli,Viral Hepatitis A,74,00,13-08-21,,Under Surveillance
Assam,Darrang (Mangaldoi),Food Poisoning,51,00,15-08-21,19-08-21,Under Surveillance  
Assam,Nagaon,Acute Encephalitis Syndrome,01,01,10-08-21,16-08-21,Under Surveillance  
Haryana,Karnal,Acute Diarrheal Disease,26,00,22-08-21,22-08-21,Under Control  
Jharkhand,Godda,Acute Diarrheal Disease,38,00,20-08-21,20-08-21,Under Surveillance  
Maharashtra,Chandrapur,Malaria,07,03,07-08-21,17-08-21,Under Surveillance  
Maharashtra,Satara,Hepatitis A,19,00,10-08-21,17-08-21,Under Surveillance  
Maharashtra,Thane,Dengue,05,00,17-08-21,20-08-21,Under Surveillance  
Maharashtra,Yavatmal,Food Poisoning,40,00,16-08-21,18-08-21,Under Control  
Uttar Pradesh,Hardoi,Rubella,02,00,27-06-21,19-08-21,Under Surveillance  
Uttar Pradesh,Lucknow,Acute Diarrheal Disease,73,00,16-08-21,17-08-21,Under Control  
Uttar Pradesh,Panchsheel Nagar,Acute Encephalitis Syndrome,03,00,17-08-21,19-08-21,Under Surveillance  
West Bengal,Basirhat,Acute Diarrheal Disease,37,00,17-08-21,18-08-21,Under Surveillance
Assam,Nagaon,Scrub Typhus,01,00,24-08-21,26-08-21,Under Control  
Assam,Nagaon,Japanese Encephalitis,01,01,23-08-21,26-08-21,Under Surveillance  
Karnataka,Davanagere,Suspected Food Poisoning,88,00,24-08-21,26-08-21,Under Surveillance  
Karnataka,Kalburgi,Chikungunya,46,00,22-08-21,26-08-21,Under Control  
Tamil Nadu,Salem,Dengue,23,00,24-08-21,25-08-21,Under Control  
Tamil Nadu,Virudhunagar - Sivakasi,Dengue,22,00,26-08-21,31-08-21,Under Control  
Uttar Pradesh,Ambedkar Nagar,Suspected Food Poisoning,06,00,23-08-21,27-08-21,Under Surveillance  
Uttar Pradesh,Farrukhabad,Fever,260,01,23-08-21,26-08-21,Under Control  
Maharashtra,Amravati,Dengue,22,03,18-08-21,,Under Control  
Maharashtra,Pune,Chikungunya,07,00,13-08-21,,Under Control  
Maharashtra,Satara,Dengue,09,00,03-08-21,,Under Surveillance  
Maharashtra,Satara,Dengue,06,00,11-08-21,,Under Surveillance  
Tamil Nadu,Dindigul,Dengue/Scrub Typhus,25,00,19-08-21,,Under Surveillance
Assam,Udalguri,Acute Diarrheal Disease,34,00,31-08-21,02-09-21,Under Surveillance  
Assam,Udalguri,Leptospirosis,01,00,01-09-21,03-09-21,Under Control  
Haryana,Kurukshetra,Acute Diarrheal Disease,16,00,03-09-21,06-09-21,Under Surveillance  
Maharashtra,Akola,Dengue,03,00,30-08-21,31-08-21,Under Control  
Tamil Nadu,Thanjavur,Food Borne Illness,04,01,03-09-21,03-09-21,Under Control  
Uttarakhand,Haridwar,Japanese Encephalitis,01,00,31-08-21,05-09-21,Under Surveillance  
Uttar Pradesh,Firozabad,Dengue,5754,05,02-09-21,02-09-21,Under Control    
Uttar Pradesh,Farrukhabad,Malaria,96,00,29-08-21,01-09-21,Under Control  
Uttar Pradesh,Farrukhabad,Fever,22,00,29-08-21,01-09-21,Under Control  
Uttar Pradesh,Kannauj,Dengue,09,00,31-08-21,03-09-21,Under Surveillance  
Uttar Pradesh,Kaushambi,Acute Diarrheal Disease,10,00,23-08-21,31-08-21,Under Control  
Uttar Pradesh,Saharanpur,Dengue,05,00,04-09-21,04-09-21,Under Surveillance  
West Bengal,Howrah,Acute Diarrheal Disease,42,00,07-09-21,07-09-21,Under Surveillance  
West Bengal,North 24 parganas,Acute Diarrheal Disease,94,00,07-09-21,07-09-21,Under Surveillance  
Karnataka,Davanagere,Acute Diarrheal Disease,96,00,23-08-21,,Under Control  
Maharashtra,Amravati,Food Poisoning,18,03,25-08-21,,Under Control  
Maharashtra,Pune,Dengue,23,00,07-06-21,,Under Control  
Maharashtra,Pune,Chikungunya,42,00,07-06-21,,Under Control
Assam,Nagaon,Leptospirosis,01,00,10-09-21,12-09-21,Under Surveillance  
Haryana,Palwal,Leptospirosis,08,08,11-09-21,12-09-21,Under Surveillance  
Jharkhand,West Singhbhum,Acute Diarrheal Disease,08,00,05-09-21,07-09-21,Under Surveillance  
Punjab,SAS Nagar,Acute Diarrheal Disease,138,00,06-09-21,12-09-21,Under Surveillance  
Tamil Nadu,Tiruvannamalai-Cheyyar,Food Borne Illness,31,01,10-09-21,11-09-21,Under Surveillance  
Uttar Pradesh,Gautam Budha Nagar,Scrub Typhus,03,00,05-09-21,06-09-21,Under Surveillance  
Uttar Pradesh,Hardol,Acute Febrile Illness,58,00,05-09-21,07-09-21,Under Control  
Uttarakhand,Dehradun,Acute Diarrheal Disease,10,01,06-09-21,12-09-21,Under Surveillance  
Uttarakhand,Champawat,Acute Diarrheal Disease,03,01,06-09-21,12-09-21,Under Surveillance  
Uttarakhand,Hardwar,Malaria,04,02,07-09-21,12-09-21,Under Surveillance  
West Bengal,Jalpaiguri,Dengue,119,01,10-09-21,13-09-21,Under Surveillance  
Karnataka,Mysuru,Diphtheria,01,00,30-08-21,,Under Control  
Maharashtra,Jalgaon,Dengue,54,01,02-09-21,,Under Control  
Uttar Pradesh,Mainpuri,Dengue,32,00,30-08-21,,Under Surveillance
Assam,Dima Hasao,Leptospirosis,01,00,10-09-21,18-09-21,Under Surveillance  
Gujarat,Valsad,Acute Diarrheal Disease,10,00,11-09-21,14-09-21,Under Surveillance  
Jharkhand,West Singhbhum,Acute Diarrheal Disease,42,00,17-09-21,18-09-21,Under Surveillance  
Karnataka,Bagalkot,Acute Diarrheal Disease,10,00,11-09-21,13-09-21,Under Surveillance  
Karnataka,Yadgir,Acute Gastroenteritis,40,00,14-09-21,14-09-21,Under Surveillance  
