State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Assam,Sivasagar,Acute Diarrheal Disease,8,0,14-03-2024,15-03-2024
Bihar,Sheohar,Fever with Rash,7,0,15-03-2024,17-03-2024
Bihar,Vaishali,Measles,18,0,15-03-2024,16-03-2024
Chhattisgarh,Bilaspur,Measles,19,0,13-03-2024,14-03-2024
Chhattisgarh,Bilaspur,Chickenpox,5,0,13-03-2024,13-03-2024
Chhattisgarh,Durg,Measles,23,0,14-03-2024,15-03-2024
Gujarat,Ahmedabad,Acute Diarrheal Disease,17,0,08-03-2024,11-03-2024
Gujarat,Bharuch,Typhoid,59,0,12-03-2024,13-03-2024
Gujarat,Jamnagar,Measles,10,0,11-03-2024,15-03-2024
Gujarat,Kheda,Jaundice,6,0,11-03-2024,13-03-2024
Gujarat,Kheda,Food Poisoning,22,0,10-03-2024,11-03-2024
Himachal Pradesh,Hamirpur,Acute Diarrheal Disease,290,0,11-03-2024,12-03-2024
Himachal Pradesh,Kangra,Acute Diarrheal Disease,105,0,11-03-2024,13-03-2024
Jammu and Kashmir,Pulwama,Hepatitis A,27,0,12-03-2024,12-03-2024
Jharkhand,Dumka,Chickenpox,10,0,10-03-2024,11-03-2024
Karnataka,Davangere,Acute Diarrheal Disease,19,1,15-03-2024,16-03-2024
Karnataka,Udupi,Acute Diarrheal Disease,2,0,11-03-2024,12-03-2024
Kerala,Ernakulam,Hepatitis A,13,0,13-03-2024,14-03-2024
Kerala,Idukki,Food Poisoning,11,0,12-03-2024,12-03-2024
Kerala,Kannur,Food Poisoning,133,0,12-03-2024,14-03-2024
Kerala,Kasaragod,Mumps,200,0,14-03-2024,15-03-2024
Kerala,Kozhikode,Hepatitis A,57,1,16-03-2024,16-03-2024
Kerala,Malappuram,Hepatitis-A,6,0,05-03-2024,14-03-2024
Kerala,Malappuram,Acute Diarrheal Disease,10,0,08-03-2024,13-03-2024
Kerala,Malappuram,Dengue,10,0,07-03-2024,12-03-2024
Kerala,Palakkad,Hepatitis A,15,0,17-03-2024,17-03-2024
Madhya Pradesh,Ashoknagar,Food Poisoning,7,0,15-03-2024,15-03-2024
Madhya Pradesh,Barwani,Food Poisoning,11,0,09-03-2024,11-03-2024
Madhya Pradesh,Chhindwara,Chickenpox,18,0,14-03-2024,15-03-2024
Madhya Pradesh,Guna,Measles,6,0,11-03-2024,11-03-2024
Madhya Pradesh,Guna,Measles,6,0,11-03-2024,11-03-2024
Madhya Pradesh,Indore,Acute Diarrheal Disease,10,0,11-03-2024,12-03-2024
Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,7,0,14-03-2024,15-03-2024
Madhya Pradesh,Ujjain,Mumps,5,0,11-03-2024,11-03-2024
Maharashtra,Amravati,Malaria,64,0,12-03-2024,13-03-2024
Maharashtra,Dhule,Acute Diarrheal Disease,118,0,14-03-2024,15-03-2024
Maharashtra,Gadchiroli,Malaria,34,1,13-03-2024,13-03-2024
Maharashtra,Gadchiroli,Malaria,249,1,09-03-2024,11-03-2024
Maharashtra,Jalna,Acute Diarrheal Disease,33,0,09-03-2024,12-03-2024
Maharashtra,Kolhapur,Acute Diarrheal Disease,41,0,14-03-2024,14-03-2024
Maharashtra,Latur,Dengue,5,0,15-03-2024,15-03-2024
Maharashtra,Nagpur,Acute Diarrheal Disease,22,0,10-03-2024,11-03-2024
Maharashtra,Nagpur,Acute Diarrheal Disease,13,0,10-03-2024,11-03-2024
Maharashtra,Osmanabad,Chikungunya,10,0,16-03-2024,16-03-2024
Maharashtra,Osmanabad,Chikungunya & Dengue,7,0,13-03-2024,13-03-2024
Manipur,Bishnupur,Animal Bite - Dog Bite,1,1,14-03-2024,14-03-2024
Meghalaya,East Jaintia Hills,Food Poisoning,3,1,15-03-2024,16-03-2024
Meghalaya,South West Khasi Hills,Measles,30,0,08-03-2024,11-03-2024
Mizoram,Aizawl,Typhoid,11,1,14-03-2024,15-03-2024
Mizoram,Aizawl,Acute Diarrheal Disease,59,1,10-03-2024,11-03-2024
Odisha,Balangir,Acute Diarrheal Disease,15,0,12-03-2024,13-03-2024
Odisha,Bhadrak,Acute Diarrheal Disease,26,0,02-03-2024,13-03-2024
Odisha,Ganjam,Measles,6,0,13-03-2024,14-03-2024
Odisha,Jagatsinghapur,Acute Diarrheal Disease,27,0,12-03-2024,12-03-2024
Odisha,Kendrapara,Food Poisoning,39,0,15-03-2024,16-03-2024
Odisha,Koraput,Acute Diarrheal Disease,20,0,11-03-2024,11-03-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,20,0,16-03-2024,16-03-2024
Tamil Nadu,Namakkal,Mumps,8,0,11-03-2024,11-03-2024
Tamil Nadu,Sivaganga,Acute Diarrheal Disease,3,1,09-03-2024,09-03-2024
Tamil Nadu,Thiruvallur,Mumps,22,0,13-03-2024,13-03-2024
Tamil Nadu,Thiruvarur,Acute Diarrheal Disease,27,0,12-03-2024,12-03-2024
Uttar Pradesh,Amroha,Food Poisoning,26,0,09-03-2024,11-03-2024
West Bengal,Howrah,Acute Diarrheal Disease,40,0,11-03-2024,12-03-2024
Andhra Pradesh,Alluri Sitharama Raju,Acute Diarrheal Disease,11,0,07-02-2024,
Andhra Pradesh,Guntur,Acute Diarrheal Disease,205,1,20-02-2024,
Andhra Pradesh,Guntur,Cholera,150,0,10-02-2024,
Chhattisgarh,Dantewada,Mumps,29,0,20-02-2024,
Madhya Pradesh,Bhopal,Leptospirosis,1,1,29-02-2024,
Madhya Pradesh,Bhopal,Leptospirosis,1,1,26-02-2024,
Tamil Nadu,Theni,Measles,26,1,09-02-2024,
Assam,Goalpara,Hepatitis A,40,0,21-03-2024,22-03-2024
Assam,Kamrup,Human Rabies,1,1,18-03-2024,19-03-2024
Assam,Kamrup,Chickenpox,8,0,18-03-2024,19-03-2024
Assam,Lakhimpur,Chickenpox,6,0,19-03-2024,19-03-2024
Bihar,Gaya,Measles,5,0,20-03-2024,20-03-2024
Bihar,Madhubani,Measles,12,0,21-03-2024,21-03-2024
Bihar,Samastipur,Fever with Rash,28,0,21-03-2024,21-03-2024
Chhattisgarh,Raipur,Acute Diarrheal Disease,14,0,21-03-2024,21-03-2024
Chhattisgarh,Sukma,Measles,15,0,19-03-2024,19-03-2024
Gujarat,Ahmadabad,Acute Diarrheal Disease,9,0,21-03-2024,21-03-2024
Gujarat,Devbhumi Dwarka,Food Poisoning,50,0,21-03-2024,21-03-2024
Gujarat,Rajkot,Acute Diarrheal Disease,222,0,20-03-2024,21-03-2024
Himachal Pradesh,Mandi,Hepatitis A,88,0,20-03-2024,22-03-2024
Jammu and Kashmir,Jammu,Hepatitis A,5,0,23-03-2024,23-03-2024
Jharkhand,East Singhbum,Chickenpox,22,0,20-03-2024,20-03-2024
Jharkhand,West Singhbhum,Fever with Rash,12,0,21-03-2024,22-03-2024
Karnataka,Chikballapur,Chikungunya,17,0,21-03-2024,21-03-2024
Karnataka,Gadag,Dengue,45,0,22-03-2024,22-03-2024
Karnataka,Raichur,Food Poisoning,69,0,19-03-2024,19-03-2024
Kerala,Ernakulam,Hepatitis A,7,0,15-03-2024,22-03-2024
Kerala,Ernakulam,Hepatitis A,10,0,14-03-2024,22-03-2024
Kerala,Ernakulam,Hepatitis A,13,0,18-03-2024,19-03-2024
Kerala,Kottayam,Chickenpox,8,0,18-03-2024,20-03-2024
Kerala,Palakkad,Acute Diarrheal Disease,25,0,20-03-2024,20-03-2024
Kerala,Palakkad,Dengue,26,0,20-03-2024,20-03-2024
Kerala,Palakkad,Acute Diarrheal Disease,19,0,19-03-2024,19-03-2024
Kerala,Palakkad,Mumps,42,0,19-03-2024,19-03-2024
Madhya Pradesh,Khargone,Cholera,44,0,21-03-2024,21-03-2024
Madhya Pradesh,Khargone,Measles,6,0,20-03-2024,20-03-2024
Madhya Pradesh,Umaria,Leptospirosis & Scrub Typhus,23,2,18-03-2024,19-03-2024
Maharashtra,Akola,Dengue,26,0,23-03-2024,23-03-2024
Maharashtra,Amravati,Dengue,64,0,20-03-2024,20-03-2024
Maharashtra,Osmanabad,Dengue,6,1,22-03-2024,23-03-2024
Maharashtra,Osmanabad,Dengue & Chikungunya,15,0,19-03-2024,20-03-2024
Meghalaya,East Khasi Hills,Acute Diarrheal Disease,35,0,20-03-2024,22-03-2024
Mizoram,Champhai,Measles,12,0,21-03-2024,21-03-2024
Odisha,Dhenkanal,Acute Diarrheal Disease,44,0,17-03-2024,20-03-2024
Odisha,Sambalpur,Acute Diarrheal Disease,290,0,21-03-2024,21-03-2024
Rajasthan,Pratapgarh,Mumps,15,0,20-03-2024,20-03-2024
Tamil Nadu,Coimbatore,Mumps,17,0,21-03-2024,21-03-2024
Tamil Nadu,Namakkal,Mumps,8,0,21-03-2024,21-03-2024
Tamil Nadu,Namakkal,Mumps,13,0,21-03-2024,21-03-2024
Tamil Nadu,Thanjavur,Chickenpox,18,0,23-03-2024,23-03-2024
Tamil Nadu,The Nilgiris,Mumps,11,0,19-03-2024,20-03-2024
Tamil Nadu,Tiruchirappalli,Mumps,27,0,20-03-2024,21-03-2024
Tamil Nadu,Tirupathur,Measles,12,0,22-03-2024,23-03-2024
Uttar Pradesh,Ambedkar Nagar,Fever with Rash,12,0,18-03-2024,22-03-2024
Uttar Pradesh,Ballia,Fever with Rash,12,0,20-03-2024,23-03-2024
West Bengal,Birbhum,Acute Diarrheal Disease,130,0,17-03-2024,18-03-2024
Chhattisgarh,Balod,Chickenpox,20,0,14-03-2024,
Chhattisgarh,Raipur,Acute Diarrheal Disease,118,0,21-01-2024,
Gujarat,Jamnagar,Measles,11,0,07-03-2024,
Kerala,Ernakulam,Hepatitis A,7,0,22-02-2024,
Kerala,Ernakulam,Hepatitis A,6,0,18-02-2024,
Manipur,Imphal West,Human Rabies,1,1,01-03-2024,
Tamil Nadu,Theni,Dengue,11,0,13-03-2024,
Jharkhand,Sahibganj,Measles,63,0,16-12-2021,29-03-2022
Jharkhand,Godda,Measles,2,0,29-03-2022,30-03-2022
Kerala,Ernakulam,Acute Diarrheal Disease,21,0,21-03-2022,06-04-2022
Kerala,Thrissur,Acute Diarrheal Disease (Shigella),7,0,30-03-2022,04-04-2022
Kerala,Kollam,Food Poisoning,18,0,28-03-2022,01-04-2022
Kerala,Thiruvananthapuram,Dengue,8,0,16-03-2022,05-04-2022
Kerala,Idukki,Food Poisoning,12,0,28-03-2022,02-04-2022
Karnataka,Davanagere,Acute Diarrheal Disease,21,0,27-03-2022,28-03-2022
Karnataka,Koppal,Food Poisoning,50,0,29-03-2022,30-03-2022
Maharashtra,Akola,Chikungunya,3,0,29-03-2022,30-03-2022
Odisha,Koraput,Acute Diarrheal Disease,9,1,04-03-2022,04-04-2022
Odisha,Ganjam,Acute Diarrheal Disease,83,0,05-04-2022,07-04-2022
Odisha,Ganjam,Acute Diarrheal Disease,69,0,03-04-2022,04-04-2022
Odisha,Koraput,Acute Diarrheal Disease,8,0,28-03-2022,29-03-2022
Punjab,Nawanshahr,Hepatitis A,207,0,28-03-2022,28-03-2022
Punjab,Rupnagar,Hepatitis A,35,0,01-04-2022,01-04-2022
Rajasthan,Sri Ganganagar,Jaundice,23,1,25-03-2022,29-03-2022
Tamil Nadu,Pudukkottai,Dengue,15,0,30-03-2022,30-03-2022
Tamil Nadu,Krishnagiri,Food Poisoning,18,0,31-03-2022,01-04-2022
Tamil Nadu,Tiruchirappalli,Chickenpox,24,0,28-03-2022,04-04-2022
Telangana,Jagtial,Food Poisoning,25,0,02-04-2022,03-04-2022
Uttarakhand,Haridwar,Food Poisoning,89,0,03-04-2022,04-04-2022
Andhra Pradesh,Palnadu,Fever,58,0,28-03-2024,03-04-2024
Assam,Charaideo,Mushroom Poisoning,5,2,04-04-2024,04-04-2024
Assam,Goalpara,Measles,11,0,02-04-2024,03-04-2024
Bihar,Patna,Fever with Rash,9,0,03-04-2024,03-04-2024
Bihar,Samastipur,Fever with Rash,12,0,06-04-2024,06-04-2024
Bihar,Samastipur,Fever with Rash,12,0,06-04-2024,06-04-2024
Bihar,Samastipur,Measles,5,0,01-04-2024,04-04-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,10,0,02-04-2024,03-04-2024
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,37,0,06-04-2024,06-04-2024
Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,14,0,30-03-2024,01-04-2024
Chhattisgarh,Sarangarh Bilaigarh,Food Poisoning,72,0,03-04-2024,04-04-2024
Gujarat,Navsari,Cholera,3,1,02-04-2024,02-04-2024
Haryana,Fatehabad,Measles,6,0,03-04-2024,03-04-2024
Jharkhand,East Singhbum,Measles,8,0,26-03-2024,03-04-2024
Jharkhand,Garhwa,Measles,9,0,06-04-2024,06-04-2024
Jharkhand,Jamtara,Chickenpox,5,0,03-04-2024,03-04-2024
Jharkhand,Jamtara,Chickenpox,9,0,30-03-2024,01-04-2024
Jharkhand,Khunti,Mumps,23,0,01-04-2024,03-04-2024
Karnataka,Bengaluru Urban,Cholera,47,0,06-04-2024,06-04-2024
Karnataka,Chikkamagaluru,Food Poisoning,47,0,06-04-2024,06-04-2024
Karnataka,Chitradurga,Food Poisoning,43,0,05-04-2024,06-04-2024
Kerala,Ernakulam,Hepatitis A,20,0,04-04-2024,05-04-2024
Kerala,Idukki,Dengue,23,0,30-03-2024,06-04-2024
Kerala,Kasaragod,Food Poisoning,171,0,04-04-2024,04-04-2024
Kerala,Kottayam,Dengue,10,0,04-04-2024,05-04-2024
Kerala,Kozhikode,Hepatitis A,38,1,04-03-2024,04-04-2024
Kerala,Thrissur,Dengue,19,0,01-04-2024,01-04-2024
Madhya Pradesh,Katni,Scrub Typhus,2,1,05-04-2024,05-04-2024
Madhya Pradesh,Shivpuri,Measles,47,0,02-04-2024,02-04-2024
Maharashtra,Raigad,Dengue,5,1,03-04-2024,05-04-2024
Meghalaya,Ri Bhoi,Acute Gastroenteritis,15,0,02-04-2024,02-04-2024
Odisha,Cuttack,Hepatitis A,101,0,06-04-2024,07-04-2024
Odisha,Koraput,Fever with Rash,11,0,04-04-2024,05-04-2024
Odisha,Rayagada,Food Poisoning,19,0,04-04-2024,05-04-2024
Odisha,Sundargarh,Acute Gastroenteritis,73,0,04-04-2024,04-04-2024
Punjab,Ludhiana,Mumps,6,0,02-04-2024,03-04-2024
Rajasthan,Sikar,Mumps,76,0,01-04-2024,01-04-2024
Tamil Nadu,Dindigul,Acute Diarrheal Disease,57,0,02-04-2024,02-04-2024
Tamil Nadu,Salem,Acute Diarrheal Disease,106,0,03-04-2024,03-04-2024
Tamil Nadu,Sivaganga,Chickenpox,40,0,04-04-2024,05-04-2024
Telangana,Nirmal,Acute Diarrheal Disease,50,0,04-04-2024,04-04-2024
Uttar Pradesh,Unnao,Food Poisoning,61,0,06-04-2024,06-04-2024
West Bengal,24 Paraganas South,Acute Diarrheal Disease,19,0,03-04-2024,04-04-2024
West Bengal,Nadia,Acute Diarrheal Disease,10,0,02-04-2024,03-04-2024
Bihar,Gaya,Chickenpox,5,0,16-03-2024,
Madhya Pradesh,Bhopal,Measles,9,0,21-03-2024,
Bihar,Muzaffarpur,Acute Encephalitic Syndrome,1,0,12-04-2023,13-04-2023
Kerala,Palakkad,Hepatitis A,13,0,10-04-2023,18-04-2023
Karnataka,Bellary,Dengue,15,0,12-04-2023,15-04-2023
Karnataka,Chikkaballapura,Suspected Rabies Death,1,1,08-04-2023,10-04-2023
Karnataka,Dharwad,Acute Diarrheal Disease,13,0,11-04-2023,11-04-2023
Karnataka,Vijayanagar,Food Poisoning,32,0,11-04-2023,12-04-2023
Odisha,Koraput,Fever with Rash,13,0,11-04-2023,15-04-2023
Punjab,S.A.S Nagar,Acute Diarrheal Disease,19,0,07-04-2023,11-04-2023
West Bengal,Basirhat,Food Poisoning,87,0,12-04-2023,12-04-2023
West Bengal,Diamond Harbour,Food Poisoning,114,0,16-04-2023,17-04-2023
Bihar,Aurangabad,Fever with Rash,17,0,31-03-2023,
Bihar,Muzaffarpur,Acute Encephalitic Syndrome,1,0,05-04-2023,
Jharkhand,East Singbhum,Chickenpox,19,0,15-03-2023,
Kerala,Ernakulam,Hepatitis A,20,0,24-03-2023,
Kerala,Kollam,Food Poisoning,47,0,02-04-2023,
Karnataka,Hassan,Human Rabies,1,1,06-04-2023,
Karnataka,Hassan,Human Rabies,1,1,05-04-2023,
Karnataka,Mandya,Suspected Rabies Death,1,1,05-04-2023,
Uttar Pradesh,Gonda,Chickenpox,12,0,28-03-2023,
Arunachal Pradesh,Longding,Measles,9,0,11-04-2024,16-04-2024
Assam,Biswanath,Food Poisoning,51,0,16-04-2024,16-04-2024
Assam,Jorhat,Acute Diarrheal Disease,12,0,17-04-2024,17-04-2024
Assam,Jorhat,Acute Diarrheal Disease,11,0,17-04-2024,17-04-2024
Assam,Kokrajhar,Human Rabies,1,1,15-04-2024,15-04-2024
Assam,Udalguri,Human Rabies,1,1,16-04-2024,17-04-2024
Bihar,Begusarai,Fever with Rash,13,0,16-01-2024,18-04-2024
Bihar,Samastipur,Fever with Rash,27,0,11-04-2024,18-04-2024
Chhattisgarh,Baloda Bazar,Food Poisoning,16,0,16-04-2024,17-04-2024
Chhattisgarh,Bilaspur,Food Poisoning,19,0,18-04-2024,19-04-2024
Chhattisgarh,Kabirdham,Food Poisoning,16,0,19-04-2024,19-04-2024
Chhattisgarh,Sukma,Measles,5,0,16-04-2024,16-04-2024
Gujarat,Gir Somnath,Food Poisoning,81,0,19-04-2024,19-04-2024
Gujarat,Junagadh,Acute Diarrheal Disease,19,0,19-04-2024,19-04-2024
Gujarat,Navsari,Acute Diarrheal Disease,64,0,20-04-2024,20-04-2024
Gujarat,Patan,Typhoid,5,0,19-04-2024,19-04-2024
Haryana,Panchkula,Acute Diarrheal Disease,141,0,16-04-2024,16-04-2024
Jammu and Kashmir,Pulwama,Hepatitis A,27,0,18-04-2024,18-04-2024
Karnataka,Hassan,Acute Diarrheal Disease,33,0,19-04-2024,20-04-2024
Karnataka,Kodagu,Food Poisoning,46,0,17-04-2024,18-04-2024
Karnataka,Tumakuru,Food Poisoning,27,0,19-04-2024,19-04-2024
Karnataka,Tumakuru,Food Poisoning,67,0,18-04-2024,18-04-2024
Karnataka,Vijayanagar,Cholera,16,0,15-04-2024,15-04-2024
Kerala,Ernakulam,Hepatitis A,132,0,18-04-2024,19-04-2024
Kerala,Ernakulam,Hepatitis A,15,1,09-04-2024,17-04-2024
Kerala,Kannur,Hepatitis A,12,0,18-04-2024,19-04-2024
Kerala,Kollam,Food Poisoning,49,0,17-04-2024,18-04-2024
Kerala,Kollam,Food Poisoning,114,0,16-04-2024,17-04-2024
Kerala,Kottayam,Dengue,7,0,18-04-2024,20-04-2024
Madhya Pradesh,Ashoknagar,Measles,5,0,16-04-2024,17-04-2024
Madhya Pradesh,Barwani,Acute Diarrheal Disease,8,1,20-04-2024,21-04-2024
Madhya Pradesh,Khargone,Acute Diarrheal Disease,60,0,15-04-2024,15-04-2024
Madhya Pradesh,Sehore,Measles,5,0,19-04-2024,20-04-2024
Maharashtra,Ahmednagar,Scrub Typhus,14,0,16-04-2024,16-04-2024
Maharashtra,Akola,Dengue,24,0,20-04-2024,20-04-2024
Maharashtra,Bhandara,Acute Diarrheal Disease,39,0,18-04-2024,18-04-2024
Maharashtra,Kolhapur,Hepatitis A,12,0,17-04-2024,17-04-2024
Maharashtra,Kolhapur,Hepatitis A,48,0,17-04-2024,17-04-2024
Maharashtra,Pune,Food Poisoning,59,0,20-04-2024,21-04-2024
Maharashtra,Raigad,Hepatitis A,11,1,19-04-2024,19-04-2024
Manipur,Senapati,Human Rabies,1,1,18-04-2024,18-04-2024
Nagaland,Dimapur,Human Rabies,1,1,17-04-2024,18-04-2024
Odisha,Cuttack,Acute Diarrheal Disease,26,0,14-04-2024,15-04-2024
Odisha,Sundargarh,Acute Diarrheal Disease,27,0,19-04-2024,20-04-2024
Rajasthan,Kota,Chickenpox,15,0,13-04-2024,16-04-2024
Tamil Nadu,Coimbatore,Food Poisoning,9,2,15-04-2024,15-04-2024
Telangana,Yadadri Bhuvanagiri,Food Poisoning,25,1,14-04-2024,15-04-2024
Uttar Pradesh,Barabanki,Food Poisoning,34,0,13-04-2024,15-04-2024
Uttar Pradesh,Jhansi,Measles,16,0,15-04-2024,18-04-2024
West Bengal,24 Paraganas North,Food Poisoning,105,0,19-04-2024,20-04-2024
West Bengal,Hooghly,Cholera,25,0,20-04-2024,20-04-2024
Andhra Pradesh,Eluru,Acute Diarrheal Disease,46,0,19-02-2024,
Arunachal Pradesh,Lower Subansiri,Mumps,18,0,05-04-2024,
Kerala,Kollam,Mumps,13,0,10-04-2024,
Madhya Pradesh,Datia,Mumps,5,0,30-03-2024,
Punjab,S.A.S Nagar,Acute Diarrheal Disease,24,0,19-03-2024,
Uttar Pradesh,Mathura,Food Poisoning,37,0,09-04-2024,
Chhattisgarh,Narayanpur,Acute Diarrheal Disease,26,0,29-04-2023,30-04-2023
Gujarat,Gandhinagar,Acute Diarrheal Disease,50,0,26-04-2023,29-04-2023
Karnataka,Bagalkote,Suspected Measles,13,0,25-04-2023,26-04-2023
Karnataka,Chikkaballapura,Acute Diarrheal Disease,17,0,26-04-2023,26-04-2023
Karnataka,Hassan,Acute Diarrheal Disease,20,0,28-04-2023,29-04-2023
Kerala,Malappuram,Food Poisoning,23,0,24-04-2023,03-05-2023
Madhya Pradesh,Mandsaur,Food Poisoning,125,0,19-04-2023,26-04-2023
Maharashtra,Nanded,Dengue,13,0,28-04-2023,30-04-2023
Meghalaya,East Khasi Hills,Chickenpox,25,0,24-04-2023,25-04-2023
Meghalaya,Ri Bhoi,Human Rabies,1,1,20-03-2023,28-04-2023
Odisha,Mayurbhanj,Acute Diarrheal Disease,65,0,23-04-2023,27-04-2023
Punjab,S.A.S Nagar,Acute Diarrheal Disease,22,0,27-04-2023,28-04-2023
Tamil Nadu,Thanjavur,Acute Diarrheal Disease,18,0,27-04-2023,27-04-2023
Telangana,Hyderabad,Acute Diarrheal Disease,65,0,27-04-2023,29-04-2023
West Bengal,Basirhat HD,Viral Hepatitis A & E,93,0,24-04-2023,25-04-2023
West Bengal,Hooghly,Food Poisoning,77,0,25-04-2023,26-04-2023
Jharkhand,Jamtara,Chickenpox,11,0,05-04-2023,
Jharkhand,Jamtara,Chickenpox,21,0,04-04-2023,
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,15,0,29-04-2024,03-05-2024
Assam,Cachar,Acute Encephalitic Syndrome,1,1,03-05-2024,03-05-2024
Assam,Charaideo,Human Rabies,1,1,30-04-2024,01-05-2024
Assam,Dibrugarh,Acute Diarrheal Disease,28,0,01-05-2024,02-05-2024
Assam,Dibrugarh,Cholera,92,2,29-04-2024,29-04-2024
Assam,Golaghat,Food Poisoning,10,0,05-05-2024,05-05-2024
Assam,Golaghat,Food Poisoning,12,0,02-05-2024,02-05-2024
Assam,Lakhimpur,Dengue,10,0,04-05-2024,04-05-2024
Assam,Lakhimpur,Acute Hepatitis-A,8,0,29-04-2024,29-04-2024
Assam,Marigaon,Acute Diarrheal Disease,6,0,03-05-2024,04-05-2024
Assam,Nagaon,Food Poisoning,47,0,04-05-2024,04-05-2024
Bihar,Jehanabad,Measles,6,0,23-04-2024,30-04-2024
Bihar,Patna,Fever with Rash,13,0,29-04-2024,30-04-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,41,0,01-05-2024,01-05-2024
Chhattisgarh,Mahasamund,Chickenpox,8,0,02-05-2024,02-05-2024
Chhattisgarh,Raipur,Acute Diarrheal Disease,8,0,01-04-2024,01-05-2024
Gujarat,Botad,Chikungunya,5,0,02-05-2024,03-05-2024
Gujarat,Devbhumi Dwarka,Measles,7,0,29-04-2024,29-04-2024
Gujarat,Kheda,Acute Diarrheal Disease,41,0,29-04-2024,30-04-2024
Gujarat,Rajkot,Food Poisoning,111,0,30-04-2024,30-04-2024
Jharkhand,East Singhbum,Chickenpox,9,0,03-05-2024,04-05-2024
Jharkhand,Godda,Chickenpox,23,0,25-04-2024,02-05-2024
Jharkhand,Saraikela Kharsawan,Food Poisoning,87,0,02-05-2024,02-05-2024
